draw,precip_scale,evap_scale,qin_scale,net_unresolved_m_per_day,weighted_MAE_m,skill_vs_frozen,final_level_m
28,1.2321382358366595,2.4337555294249262,0.7211938249052015,-0.0002666660627989673,0.526060891537243,-0.04227404059421347,1551.486245268491
29,1.2951992958910692,2.380246503268996,0.8252961735815821,-0.00027013070629888775,0.2324374398887942,0.539476297220401,1552.0657563496243
30,1.272570664606966,2.059370795299013,0.7046879976736689,-0.0002815136618191245,0.2930890235226303,0.41930851406178393,1552.9237828773016
31,1.32314915289099,2.4242409170019115,0.8265881069243858,-0.00023909351649868565,0.22748566789839916,0.5492871451346959,1552.0679012683743
32,1.1989640783010311,2.4433058041840447,0.8039442391931475,-0.0002507852836668424,0.5602643452346286,-0.11004066696949377,1551.4189560910727
33,1.333531859382101,2.251009147493426,0.7583450099134951,-0.0002588552460066605,0.1774850143470492,0.648352451162349,1552.6136665762026
34,1.3340704122857994,2.2813342736620115,0.7987101128085272,-0.0002616751450153916,0.16551863096024041,0.6720612099096919,1552.5554612765407
35,1.2034363517079583,2.391588660380792,0.7207234311689533,-0.00026653258401666266,0.5214230798857826,-0.03308523609031444,1551.505418351088
36,1.3629003219565785,2.4304048531968507,0.6890136766630932,-0.00028874517169978116,0.25348015434635024,0.49778478322350006,1552.01360597447
37,1.1837113663329302,2.3241326494778582,0.7458748774446896,-0.0002616466512752722,0.43444237223540877,0.13924791977607442,1551.68573594827
38,1.3194036124420399,2.0995792370689164,0.7030694180725395,-0.00027088969887660726,0.3380788160308018,0.3301711279201125,1552.9989414661181
39,1.241896421654381,2.4873682162281265,0.6928888866441233,-0.00024054011349226132,0.6002265169376332,-0.18921692744021068,1551.3361330520772
40,1.1858252755946856,2.2734400566570367,0.710136537126082,-0.0002768468447644072,0.37405296460301457,0.2588962588080407,1551.814000859552
41,1.2435745455028266,2.4045185117340724,0.8282090582205526,-0.00025642878022953637,0.37892542637768384,0.24924254665565992,1551.7716888638802
42,1.2555104656492877,2.3436252866840017,0.7280746636394831,-0.00024377427996342426,0.3063414887312189,0.3930516668355498,1551.9303015467071
43,1.3368554159210118,2.2262185929746163,0.7866329961197076,-0.0002681156926121971,0.2269783395734055,0.5502923047116679,1552.7378747412124
44,1.4065127997529108,2.2694635178403453,0.7177099042778794,-0.00026184170267241035,0.2745893118839772,0.4559616268660869,1552.8204135882413
45,1.2933467706706299,2.1788690423568102,0.7950465097840871,-0.0002696085545228531,0.21099434123329502,0.5819610845103629,1552.7186679461652
46,1.315499442020542,2.0956461515007403,0.8265922322589815,-0.00026200650988913565,0.4156604763339838,0.1764601186795015,1553.1474593936057
47,1.1631190524608184,2.0808369892308476,0.8093452535512695,-0.0002481741343814889,0.14806088571814027,0.7066498952992804,1552.522502505335
48,1.3620954556845304,2.4235017688123657,0.8015047284215238,-0.0002700614249419077,0.1826886870947599,0.6380425172593789,1552.18260621571
49,1.3054768177006348,2.168181830852148,0.6887295135535847,-0.000275815760767078,0.19249017126544188,0.6186230305141385,1552.6793609795307
