date,p_consensus_mm,evap_original_mm,evap_candidate_mm,qin_total_m3s,qin_depth_m_day
2009-01-10,0.08201670171257636,2.009313165387506,2.971595409504726,1.1776452341719796,0.0008090049155797014
2009-01-11,3.125362923216281,1.723327673971653,2.5435496126527823,1.3339100882955603,0.0009163539129262655
2009-01-12,0.0685285948868279,2.0566251069805737,2.9033430807306315,1.1627428231449721,0.0007987674319768275
2009-01-13,0.5609545353540679,1.942965595808845,2.924063483748227,1.2324725293501353,0.0008466695279943682
2009-01-14,0.2859024268816536,1.7433325627476846,2.5156427408235613,1.2292344169715779,0.0008444450475180434
2009-01-15,0.2102863816720135,2.1936866465962366,3.249498156434611,1.265781911711203,0.0008695520169503693
2009-01-16,0.24866268644722575,1.8653645272818788,2.6290659323324648,1.2760556622487302,0.0008766097576392646
2009-01-17,0.11363188097360905,1.875639000929905,2.5878701715462107,1.3077816886615121,0.0008984045312900902
2009-01-18,0.1137563424755744,2.221805491607707,3.1297433096049594,1.327908143719265,0.0009122307674115011
2009-01-19,0.17421235817844322,2.2111374630846763,3.2009254125970217,1.2691014974926451,0.0008718324670697666
2009-01-20,1.0606949736793905,2.2809905947328226,2.9225457891354134,1.3325266436204604,0.0009154035303236684
2009-01-21,0.01710711035712535,2.510218292404458,3.1475977614767023,1.319862669131648,0.0009067037816090831
2009-01-22,0.36850329579247904,2.313986173822939,3.196940557872421,1.3955811572923453,0.000958719980838504
2009-01-23,0.2103643737760254,2.46761415847042,3.416500731205731,1.3143805337334824,0.0009029377285089678
2009-01-24,0.0621534525859421,2.4338903841698354,3.392260093932437,1.2266653688543596,0.0008426801929634784
2009-01-25,0.03869125798633855,2.2182059050960974,3.205834582313131,1.2193528808998508,0.0008376567457243151
2009-01-26,0.00823500162977085,2.399937772890154,3.4537220797802695,1.2225428142195374,0.0008398481287156558
2009-01-27,0.00148204396604525,2.462537731579146,3.3591301853093256,1.167984438152974,0.000802368255199308
2009-01-28,0.5328166427704987,2.1517925494786594,3.2963954736295173,1.0893333458570895,0.0007483374499646381
2009-01-29,0.16986753060939094,2.1308257945814844,3.3044343985995166,1.057355233191639,0.0007263695010555585
2009-01-30,0.14365594275338944,2.13599325785506,3.3533737976368974,1.054489591879105,0.0007244008963851052
