date,evap_reference_mm,EQUILIBRIUM_OPEN_WATER_PROXY__RAW,EQUILIBRIUM_OPEN_WATER_PROXY__SCALE,EQUILIBRIUM_OPEN_WATER_PROXY__AFFINE,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__RAW,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__SCALE,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__AFFINE,PM_REFERENCE_DEMAND_PROXY__RAW,PM_REFERENCE_DEMAND_PROXY__SCALE,PM_REFERENCE_DEMAND_PROXY__AFFINE,RADIATION_ENERGY_PROXY__RAW,RADIATION_ENERGY_PROXY__SCALE,RADIATION_ENERGY_PROXY__AFFINE,AERO_VPD_WIND_INDEX__RAW,AERO_VPD_WIND_INDEX__SCALE,AERO_VPD_WIND_INDEX__AFFINE,TRANSPARENT_COMBINATION_PT_PLUS_AERO
2006-11-21,4.863919236201565,4.055885638516305,3.2444094385734847,3.3314952299910945,5.1104159045305435,3.2444094385734843,3.3314952299910945,3.589561944521368,3.5190215468018837,3.5203812522517413,6.28213579876334,3.461987350779831,3.479209329337916,1.1944655239923943,4.771718234145171,3.4528223446976627,3.3314952299910874
2006-11-22,4.710100402195496,3.930449281262934,3.1440696021766223,3.261716101894675,4.952366094391297,3.144069602176622,3.261716101894675,3.4453952815142523,3.3776879798392407,3.4300116454589715,6.172057559534698,3.4013249448699345,3.434807976796119,1.1211114305917125,4.478679165207213,3.4528223446976627,3.261716101894668
2006-11-23,4.393671627251731,3.728455822531185,2.9824897297522295,3.1493489402510138,4.697854336389293,2.982489729752229,3.1493489402510138,3.2181814612738657,3.1549392596569774,3.2875846573834178,5.836123526081622,3.2161969228459695,3.299305033120246,1.0193638256918611,4.072212095351197,3.4528223446976627,3.1493489402510066
2006-11-24,3.768458465948663,3.386793780313815,2.7091852893987713,2.9592853898450215,4.267360163195407,2.709185289398771,2.959285389845021,2.8284570143629724,2.7728734958698174,3.043289309969232,5.252965236257902,2.894827457501151,3.064081277766088,0.7783641563520416,3.109453025697968,3.4528223446976627,2.959285389845014
2006-11-25,3.999243564070911,4.068837763535658,3.254770183527267,3.338700381755991,5.12673558205493,3.254770183527267,3.338700381755991,3.354792153479772,3.2888653422336653,3.3732178702276836,6.206628192288511,3.4203762830033306,3.4487524481398757,0.8266885764009444,3.3025021440443156,3.4528223446976627,3.338700381755984
2006-11-26,4.132796248688538,4.349159036901819,3.479006531935455,3.4946406089012836,5.479940386496292,3.479006531935455,3.494640608901284,3.6059754461368856,3.5351124979363613,3.5306699116140905,6.494797710262741,3.5791820232904947,3.564989012687361,0.9650777615134446,3.8553470648442345,3.4528223446976627,3.494640608901277
2006-11-27,3.556729582645261,3.7702697667380987,3.015937801847902,3.172609664915851,4.750539906090005,3.015937801847902,3.172609664915851,3.1830441543580963,3.1204924547141335,3.265559145080492,5.539491185506818,3.052727452621473,3.179654889536433,0.92368548400053,3.6899908604215192,3.4528223446976627,3.1726096649158437
2006-11-28,3.265760134287364,3.688033094279184,2.95015452783523,3.1268621366283162,4.646921698791772,2.9501545278352297,3.1268621366283162,3.007774355560706,2.9486669762840942,3.155692810731155,5.416965547815908,2.9852054789774676,3.1302327324175985,0.6508510466755287,2.6000564643788455,3.4528223446976627,3.1268621366283087
2006-11-29,3.142246091618224,3.581547604725825,2.8649739882023577,3.0676252074105386,4.512749981954539,2.8649739882023573,3.0676252074105386,2.902942539034837,2.845895265739312,3.0899799070597496,5.255291215012061,2.896109268223337,3.0650194886549236,0.5365144129556031,2.1432980322655544,3.4528223446976627,3.067625207410531
2006-11-30,3.4507764543399464,4.080267450341904,3.2639130901718656,3.345058614705502,5.1411369874308,3.2639130901718656,3.345058614705502,3.295708651465228,3.230942921653341,3.336181895796267,5.910394998429597,3.257126776327185,3.329263305078712,0.6495391345288126,2.594815563753135,3.4528223446976627,3.345058614705495
2006-12-01,2.983530349100549,3.150459055977757,2.5201349367416235,2.8278144880731624,3.969578410531974,2.520134936741623,2.827814488073162,2.573867304495774,2.5232868642798247,2.883701985866097,4.633986710681371,2.5537180172416556,2.8144090090005984,0.6209467570960565,2.4805931219890374,3.4528223446976627,2.827814488073155
2006-12-02,3.056390850019168,3.111751627365755,2.489171848054135,2.806281890359533,3.920807050480851,2.489171848054135,2.8062818903595326,2.5162623399028843,2.466813925593105,2.8475928196345537,4.550684721806213,2.507811586527858,2.780808171983246,0.4781708726436851,1.9102239672892465,3.4528223446976627,2.8062818903595255
