date,evap_original_mm,evap_candidate_mm
2009-08-22,4.128975388761705,3.5155923525177952
2009-08-23,4.32814522462659,3.673798578877742
2009-08-24,4.557345643971837,3.9488278926985525
2009-08-25,4.414806528237375,3.7723987972179436
2009-08-26,3.585578219591293,2.9382885799691416
2009-08-27,3.901641026752686,3.5928632880531746
2009-08-28,3.769337217200477,3.6126211188660937
2009-08-29,4.30148694900665,3.863862378914925
2009-08-30,4.774360663511536,4.1524372944826275
2009-08-31,4.61047246100103,3.855469893026173
2009-09-01,4.1430969347164535,3.603867197744238
2009-09-02,4.141162432359587,3.6893802443644663
2009-09-03,4.551294719797157,4.050303843683076
2009-09-04,4.303135429101632,3.8997307765397955
2009-09-05,4.127556788791003,3.734770513034885
2009-09-06,3.6000670580829195,3.3178146541239273
2009-09-07,4.420589997495428,4.101016925123436
2009-09-08,4.1479960349140805,3.777659450483289
2009-09-09,4.437193518910257,4.121578520543395
2009-09-10,4.504247942354729,4.175985333834447
2009-09-11,3.960303103592803,3.5182350945800858
2009-09-12,4.300806982886832,3.8246288800306565
2009-09-13,4.311545690486455,4.01308014028176
2009-09-14,3.9339058363161614,3.6931996321408223
2009-09-15,4.413279496280295,4.008688929714475
2009-09-16,4.424734997976807,3.991022851629633
2009-09-17,3.920536144040717,3.4232839911953765
2009-09-18,3.5358037556781983,3.0834039049733724
2009-09-19,3.9564608787961215,3.535378576638865
2009-09-20,4.207916826163107,3.7390666243544466
2009-09-21,3.74929717938395,3.4295982510833234
2009-09-22,4.17486335571031,3.704855890308082
2009-09-23,3.933668936927057,3.575680210528379
2009-09-24,3.579972036291509,3.209990733313497
2009-09-25,3.3248204851321765,2.9897069289783076
2009-09-26,3.359162711936144,3.1886253493990204
2009-09-27,4.060465941528308,3.478673062507673
2009-09-28,4.316849731496738,3.6706034084213712
2009-09-29,4.289445727680192,3.685217955948091
2009-09-30,3.086820170506964,2.7567933678301877
2009-10-01,4.1071059354812585,3.800829709985587
2009-10-02,4.300099949306117,4.021554785102986
2009-10-03,4.125828782853705,3.810802105395105
2009-10-04,4.363085856536599,4.012168316218806
2009-10-05,4.070672240127421,3.6583827579654757
2009-10-06,3.445749323636192,3.1864324304921023
2009-10-07,4.257399748569901,3.683758095860811
2009-10-08,4.143396499494848,3.488409124767579
2009-10-09,4.589968580612035,3.981673766226407
2009-10-10,3.2392573146721406,2.9130593519347787
2009-10-11,3.530555250567238,3.113623801665336
2009-10-12,4.448317484946132,3.928749824080124
2009-10-13,4.02975694226871,3.3955546947992645
2009-10-14,4.365249011365258,3.6956298478047995
2009-10-15,3.8503470365756782,3.417143478135869
2009-10-16,3.9526762274664224,3.362247856396566
2009-10-17,4.432084645091925,3.610498965775816
2009-10-18,3.985896892685884,3.2232151766694823
2009-10-19,4.06793577238713,3.369772881315032
2009-10-20,4.1627201537632,3.4567953566483807
2009-10-21,3.960018124476101,3.493532694657575
2009-10-22,3.6246126971333767,3.500478912187064
2009-10-23,3.78321152097365,3.5085087855848154
2009-10-24,3.636515518813354,3.257355535351525
2009-10-25,3.936490369880792,3.5442705095185247
2009-10-26,4.029457196976676,3.5906814061115178
2009-10-27,3.542083022416302,3.2408669549589413
2009-10-28,3.6013481370133458,3.2694496554917976
2009-10-29,3.882473699691008,3.7100328388492847
2009-10-30,3.749814505112161,3.435268237886502
2009-10-31,3.3603700662213885,3.0407222475258027
2009-11-01,3.0226742203377737,2.7671771884607264
2009-11-02,2.359780884710481,2.265600188222246
2009-11-03,3.3032372242437225,2.8235384893880378
2009-11-04,3.024677570276665,2.6261855094408997
2009-11-05,1.8864341517894383,1.6465916824490932
2009-11-06,2.170586936163044,2.1217756668360406
2009-11-07,2.6186319518559587,2.5541769206512432
2009-11-08,2.777065567378319,2.8031413285503946
2009-11-09,3.271222576230611,3.2160037914413198
2009-11-10,3.338879581355517,3.099571976350172
2009-11-11,3.7959160380653314,3.1792945676819753
2009-11-12,3.590453490391246,3.1774769014294693
2009-11-13,3.5886899943544983,3.320803467772855
2009-11-14,3.4982715333982863,3.377770284949161
2009-11-15,3.590955210475836,3.5200969710766326
2009-11-16,3.9567480448435344,3.6469165215257373
2009-11-17,4.056788976967181,3.2707227934068426
2009-11-18,4.074059903628063,3.312506396809971
2009-11-19,4.291931074591894,3.4742304657616354
2009-11-20,4.088408675517625,3.4847034212799426
2009-11-21,3.4938674982426305,3.138731643144957
2009-11-22,4.407339670262451,3.4765720734796703
2009-11-23,4.034441747218626,3.409790181606892
2009-11-24,3.8013290645839017,3.400190583297714
2009-11-25,3.3478221079689257,3.1875054371193237
