evaluation,date_obs,level_obs_m,level_balance_m,level_frozen_m
test,2025-09-16 16:46:00,1553.52,1553.3034984783833,1553.9
test,2025-09-26 14:45:00,1553.64,1553.4114932302625,1553.9
test,2025-10-06 12:43:00,1553.56,1553.497528752964,1553.9
test,2025-10-16 10:42:00,1553.73,1553.55932486428,1553.9
test,2025-10-26 08:40:00,1553.57,1553.6017948681265,1553.9
test,2025-11-05 06:39:00,1553.51,1553.5596215601258,1553.9
test,2025-11-15 04:37:00,1553.47,1553.5058847272974,1553.9
test,2025-11-25 02:36:00,1553.47,1553.4645920218431,1553.9
test,2025-12-05 00:34:00,1553.28,1553.4004086243758,1553.9
test,2025-12-14 22:33:00,1553.61,1553.3577848724008,1553.9
test,2025-12-24 20:32:00,1553.63,1553.354306562444,1553.9
test,2026-01-03 18:30:00,1553.58,1553.2998328063113,1553.9
test,2026-01-13 16:29:00,1553.56,1553.2358946619643,1553.9
test,2026-01-23 14:27:00,1553.34,1553.1771793530431,1553.9
test,2026-02-02 12:26:00,1553.14,1553.1297528952514,1553.9
test,2026-02-12 10:24:00,1552.95,1553.0732438570317,1553.9
test,2026-02-22 08:23:00,1552.84,1553.022751993362,1553.9
test,2026-03-04 06:21:00,1552.8,1552.9790554971003,1553.9
test,2026-03-14 04:20:00,1552.76,1552.9333156235177,1553.9
test,2026-04-03 00:17:00,1552.96,1552.8981704067553,1553.9
test,2026-04-12 22:15:00,1552.92,1552.8467479486883,1553.9
test,2026-04-22 20:14:00,1552.7,1552.7882839669678,1553.9
test,2026-05-02 18:12:00,1552.87,1552.751711305784,1553.9
test,2026-05-12 16:11:00,1552.91,1552.6917686672978,1553.9
test,2026-05-22 14:09:00,1552.94,1552.6198180137958,1553.9
test,2026-06-01 12:08:00,1552.81,1552.6407401456036,1553.9
test,2026-06-11 10:06:00,1552.61,1552.7364534809617,1553.9
test,2026-06-21 08:05:00,1552.65,1552.7265472331014,1553.9
test,2026-07-01 06:04:00,1552.77,1552.6823656981987,1553.9
test,2026-07-11 04:02:00,1552.72,1552.6083534805032,1553.9
test,2026-07-21 02:01:00,1552.74,1552.5613493893766,1553.9
test,2026-07-30 23:59:00,1552.45,1552.518573558679,1553.9
test,2026-08-09 21:58:00,1552.74,1552.4452243347446,1553.9
test,2026-08-19 19:56:00,1552.68,1552.3650194632146,1553.9
test,2026-08-29 17:55:00,1552.77,1552.2909255868074,1553.9
