date_month,Quiscab,San_Francisco,Tzununa,La_Catarata,San_Buenaventura,q_pred_dev_m3s,q_pred_final_m3s,q_total_obs_m3s,n_rivers
2011-05-01,0.9388095294275591,0.3549490352753282,0.1471144064299522,0.028265317858792147,0.03426386199313138,1.503402150984763,1.557760304579549,,
2011-06-01,1.4524661302566528,0.6392294648987065,0.17913685018817585,0.04219819274690464,0.06061493925349251,2.373645577343932,2.968384136793354,,
2011-07-01,2.088418872125687,0.8643769265033149,0.2468391902023746,0.04531063824567933,0.07084066888453873,3.315786295961595,5.702404200801725,,
2011-08-01,1.9871189786541847,0.5776209402974064,0.1918913270196607,0.03597904487424687,0.051446930226280496,2.844057221071779,3.9153334656169005,,
2011-09-01,2.1254573424657184,0.8630454097166519,0.1934464583794276,0.0449293106691573,0.06840298334104539,3.2952815045720008,5.125426220390973,,
2011-10-01,2.1191083577371415,0.8652093358995898,0.23086640863649308,0.046218615490797664,0.07401263177282588,3.3354153495368477,5.540754611092735,,
2011-11-01,1.3560400823752086,0.28799673843495516,0.12708200191458066,0.021373927937506743,0.03422791243390235,1.8267206630961534,2.4466293081188373,,
2011-12-01,0.868558447207174,0.16199682713465047,0.10207532105907317,0.009988572217535335,0.026784181256323324,1.1694033488747564,1.3593772820576207,,
2012-01-01,0.7324888417797704,0.11482366549274461,0.1000148206949234,0.006449578240216284,0.014793188158037287,0.968570094365692,1.1141823098184658,,
2012-02-01,0.7458053560092531,0.11521187215105923,0.09758169537988202,0.004364385786523624,0.01772627686582991,0.980689586192548,1.1048607004945645,,
2012-03-01,0.6952450294648448,0.10851225403743985,0.10562678979289147,0.003981794946760086,0.005628859388763006,0.9189947276306992,0.9802777625056273,,
2012-04-01,0.7572583059469858,0.19661771765121047,0.1382011815905571,0.019099448083422246,0.026964576900927305,1.138141230173103,1.2265000065373155,,
2012-05-01,0.9852937306127241,0.42689271290681874,0.19383930246676168,0.03287706522572711,0.043624402635722266,1.682527213847754,1.745610730397764,,
2012-06-01,1.0956433435281119,0.49086797679418165,0.1576003074645996,0.03511374919197109,0.04956495430566094,1.8287903312845253,2.3725571120348055,,
