date,Quiscab,San_Francisco,Tzununa,La_Catarata,San_Buenaventura,q_pred_final_m3s
2013-04-17,0.7109047174453735,0.12093491844586646,0.1292135864496231,0.01609894013748367,0.01272345839577553,0.9898756208741223
2013-04-18,0.7199898362159729,0.12705851607876587,0.1658267080783844,0.017210148729254342,0.01525950796688959,1.0453447170692671
2013-04-19,0.7199898362159729,0.1417344153724784,0.16081327199935913,0.026996092122130274,0.03104524069693337,1.080578856406874
2013-04-20,0.7682333588600159,0.16214435638906374,0.12710106372833252,0.0240458254327212,0.03281606724911153,1.1143406716592448
2013-04-21,0.7529948353767395,0.15496316471540342,0.1211797222495079,0.023568865933889425,0.031158603106053243,1.0838651913815938
2013-04-22,0.8099100589752197,0.16323665595756084,0.12770506739616394,0.024074203501826662,0.03213029671542109,1.1570562825461923
2013-04-23,0.7756971716880798,0.16136482830734514,0.12842148542404175,0.022415525071711837,0.024920454633489898,1.1128194651246683
2013-04-24,0.7756971716880798,0.17186487471301393,0.13498850166797638,0.022867048738483015,0.02913716639120018,1.1345547631987531
2013-04-25,0.699588418006897,0.15762292927882648,0.10410524159669876,0.024727080158382427,0.027705088299158145,1.0137487573399628
2013-04-26,0.7040088176727295,0.13490374539289568,0.09364592283964157,0.022583466860867055,0.021926081181407805,0.9770680339475416
2013-04-27,0.699588418006897,0.13626968552667124,0.0877426490187645,0.021597486576909793,0.020836350706600396,0.9660345898358428
2013-04-28,0.7066298127174377,0.14152577249541198,0.09068222343921661,0.021156171498327044,0.02017089831008471,0.9801648784604781
2013-04-29,0.7182559967041016,0.1728431497905949,0.09429128468036652,0.03100134732032268,0.041066806174381555,1.0574585846697673
2013-04-30,0.807149350643158,0.2179373001323096,0.09717513620853424,0.032893098822709195,0.04859036462805798,1.203745250434769
2013-05-01,0.8771880865097046,0.23122719623049878,0.09315246343612671,0.02667316555704069,0.03906789448606449,1.2673088062194353
2013-05-02,0.8764218688011169,0.24081237399939243,0.09497034549713135,0.027127680220254604,0.03874953467097604,1.2780818031888714
2013-05-03,0.8230339884757996,0.2448863666646036,0.09386171400547028,0.027434932263285184,0.03967843502264736,1.2288954364318059
2013-05-04,0.8048054575920105,0.2741857181538288,0.08870630711317062,0.03011136554053238,0.039951245869497345,1.2377600942690394
2013-05-05,0.8197446465492249,0.28900800482456745,0.10449866950511932,0.03236914578372643,0.04259372317892693,1.2882141898415649
2013-05-06,0.8984664678573608,0.31440683604360775,0.11786818504333496,0.03733967077455069,0.04701541839907633,1.4150965781179305
2013-05-07,0.9248497486114502,0.3461131948239065,0.12365999072790146,0.04120937353807622,0.05427524030109826,1.4901075480024326
2013-05-08,0.9592478275299072,0.3753677745012019,0.12654395401477814,0.037324204640081474,0.048727106046054805,1.5472108667320235
