stable_z_m,predicted_z_m,residual_m,abs_residual_m,nearest_neighbor_m,n_neighbors
1552.479,1553.711714718878,1.2327147188780145,1.2327147188780145,20.0,4
1553.6950000000002,1553.2127037284574,-0.4822962715427366,0.4822962715427366,28.284271247461902,8
1553.98125,1552.689291349928,-1.291958650072047,1.291958650072047,40.0,7
1552.479,1552.8415060406546,0.3625060406545799,0.3625060406545799,20.0,8
1552.479,1552.7464933164954,0.26749331649534724,0.26749331649534724,20.0,8
1552.479,1552.4789999999998,-2.2737367544323206e-13,2.2737367544323206e-13,20.0,8
1552.479,1552.4790000000003,2.2737367544323206e-13,2.2737367544323206e-13,20.0,8
1552.479,1552.6229385772717,0.14393857727168324,0.14393857727168324,20.0,8
1552.479,1553.1602497698664,0.6812497698663265,0.6812497698663265,28.284271247461902,8
1552.479,1552.9222764379322,0.443276437932127,0.443276437932127,20.0,8
1552.479,1552.8814119271285,0.40241192712846896,0.40241192712846896,20.0,8
1552.479,1552.820483704169,0.3414837041689225,0.3414837041689225,20.0,8
1552.479,1552.7389190470574,0.2599190470573376,0.2599190470573376,20.0,8
1552.479,1552.576942494276,0.0979424942759124,0.0979424942759124,20.0,8
1552.479,1552.714139275518,0.23513927551789493,0.23513927551789493,20.0,8
1552.7573333333337,1552.9388885308554,0.18155519752167493,0.18155519752167493,20.0,8
1553.7816666666668,1553.3352046029295,-0.4464620637372718,0.4464620637372718,20.0,4
1553.3285714285714,1553.5893205381185,0.26074910954707775,0.26074910954707775,20.0,4
1552.479,1552.5832920991515,0.1042920991515075,0.1042920991515075,20.0,8
1553.6950000000002,1553.37106730099,-0.323932699010129,0.323932699010129,20.0,8
1553.6950000000002,1553.5595607869811,-0.13543921301902628,0.13543921301902628,20.0,8
1552.479,1552.4790000000003,2.2737367544323206e-13,2.2737367544323206e-13,20.0,8
1552.479,1552.6109995033653,0.13199950336525035,0.13199950336525035,20.0,8
1552.479,1552.593779842556,0.11477984255589035,0.11477984255589035,20.0,8
1552.479,1552.479,0.0,0.0,20.0,8
1552.479,1552.5447197016827,0.06571970168261032,0.06571970168261032,20.0,8
1552.479,1552.5527640498974,0.07376404989736329,0.07376404989736329,20.0,8
1552.479,1552.604625126777,0.12562512677686755,0.12562512677686755,20.0,8
1552.479,1552.8196055040805,0.34060550408048584,0.34060550408048584,28.284271247461902,6
1552.479,1552.5339521796338,0.05495217963380128,0.05495217963380128,20.0,8
1552.479,1553.3756141996862,0.8966141996861552,0.8966141996861552,28.284271247461902,8
1553.98125,1553.3267930976947,-0.6544569023053555,0.6544569023053555,20.0,8
1553.98125,1553.4814877847339,-0.49976221526617337,0.49976221526617337,20.0,8
1552.479,1552.5280486523434,0.049048652343344656,0.049048652343344656,20.0,8
1552.479,1552.5789760963048,0.099976096304772,0.099976096304772,20.0,8
1552.479,1552.6987891663664,0.21978916636635404,0.21978916636635404,20.0,8
1552.479,1552.4790000000003,2.2737367544323206e-13,2.2737367544323206e-13,20.0,8
1552.479,1552.479,0.0,0.0,20.0,8
1552.479,1552.479,0.0,0.0,20.0,8
1552.479,1552.5550214489822,0.07602144898214647,0.07602144898214647,20.0,8
1552.479,1552.5235585385924,0.044558538592355035,0.044558538592355035,20.0,8
1552.479,1552.7809344229706,0.30193442297058937,0.30193442297058937,60.0,5
1553.331666666667,1553.8961194521683,0.5644527855013166,0.5644527855013166,20.0,3
1553.98125,1553.3653465504135,-0.6159034495865399,0.6159034495865399,20.0,4
1552.479,1552.6055174080486,0.1265174080485849,0.1265174080485849,20.0,5
1552.479,1552.5449132514182,0.06591325141812376,0.06591325141812376,20.0,8
1552.479,1552.5089017625185,0.029901762518420583,0.029901762518420583,20.0,8
1552.479,1552.494691283604,0.01569128360392824,0.01569128360392824,20.0,8
1552.479,1552.5032641893954,0.02426418939535324,0.02426418939535324,20.0,8
1552.479,1553.7926211503575,1.3136211503574486,1.3136211503574486,20.0,8
1553.98125,1553.0380301215985,-0.9432198784015782,0.9432198784015782,20.0,8
1553.98125,1553.5899284919801,-0.39132150801992793,0.39132150801992793,20.0,8
1553.98125,1553.5520644023147,-0.4291855976853185,0.4291855976853185,20.0,8
1552.479,1553.6051085923484,1.1261085923483733,1.1261085923483733,84.8528137423857,3
1552.479,1552.6516778187968,0.1726778187967284,0.1726778187967284,20.0,8
1553.98125,1552.479,-1.5022500000000036,1.5022500000000036,40.0,8
1553.6950000000002,1552.575727648282,-1.1192723517181093,1.1192723517181093,20.0,8
1552.479,1552.9159028366198,0.43690283661976537,0.43690283661976537,20.0,8
1552.479,1552.521112132954,0.04211213295388916,0.04211213295388916,20.0,8
1553.98125,1553.695145002781,-0.28610499721912674,0.28610499721912674,44.721359549995796,5
1553.98125,1553.834772063773,-0.1464779362270292,0.1464779362270292,63.245553203367585,4
1552.479,1552.5845311445973,0.1055311445973075,0.1055311445973075,20.0,5
1553.924,1552.5537434954222,-1.3702565045778101,1.3702565045778101,20.0,8
1552.479,1552.7297123138023,0.2507123138022962,0.2507123138022962,28.284271247461902,8
1552.479,1553.800370368751,1.3213703687508769,1.3213703687508769,20.0,8
1553.924,1552.652136397016,-1.2718636029840127,1.2718636029840127,20.0,8
1553.924,1553.0703997370779,-0.8536002629221002,0.8536002629221002,20.0,8
1553.6950000000002,1553.4814660512964,-0.21353394870379816,0.21353394870379816,20.0,8
1553.6950000000002,1553.6234122898302,-0.07158771016997889,0.07158771016997889,20.0,8
1553.6950000000002,1553.7395166053943,0.0445166053941648,0.0445166053941648,20.0,8
1553.924,1553.7436306914028,-0.1803693085971645,0.1803693085971645,20.0,7
1553.924,1553.787264730847,-0.13673526915295042,0.13673526915295042,20.0,7
