n,obs_mean,sim_mean,bias,relative_bias_pct,mae,rmse,pearson_r,model,variable,month
1054,1.0443244739342783,4.194748282487563,3.150423808553284,301.67097364717574,3.160966964635107,3.687772044047107,0.04268913708009875,MIROC6,wind,1
960,0.9335610295164656,3.78455708001915,2.850996050502685,305.3893597057439,2.8707369810962025,3.3639645532838522,-0.0010885240530890963,MIROC6,wind,2
1054,0.8231485131691066,3.4422922578555717,2.619143744686465,318.18605060741834,2.6289724436089665,3.0197704978742324,0.0668740455932163,MIROC6,wind,3
1020,0.6684938506913437,2.9162916563851247,2.2477978056937804,336.24809014610236,2.2513442159393846,2.5402252563805527,0.0257453998749983,MIROC6,wind,4
1054,0.5677975445639214,2.377476930416186,1.809679385852265,318.7191285305982,1.8099147694109103,1.9935802027403402,0.055072168216118544,MIROC6,wind,5
1020,0.6524367201109273,2.3453144937156543,1.6928777736047274,259.4700330963751,1.697178916912258,1.9186556467861748,-0.019734771573330735,MIROC6,wind,6
1054,0.9963955983089723,2.586314240675777,1.5899186423668044,159.56700782953345,1.599944234267705,1.8370498274674,0.02256625161870164,MIROC6,wind,7
1054,0.858463036495093,2.2824348648760626,1.4239718283809695,165.8745651058802,1.4410026993571985,1.6836613250313075,-0.040809666771151706,MIROC6,wind,8
1020,0.640677631224259,2.2251415758427733,1.5844639446185145,247.3106391416837,1.585999619854827,1.843393353631604,0.03502272959477225,MIROC6,wind,9
1054,0.8093463180435,2.7046386549250583,1.8952923368815584,234.17569149671377,1.9042311254243174,2.2603832368925567,0.08777955171144314,MIROC6,wind,10
1020,1.0761163727796093,3.6538089216451586,2.5776925488655493,239.53659790598368,2.610085564794415,3.1248861427151864,0.03295818087099971,MIROC6,wind,11
1054,1.0701987130665158,4.1035905182204,3.0333918051538844,283.4419223381509,3.0517583617782216,3.548993977725834,-0.039145319543116674,MIROC6,wind,12
1054,0.3686543253899506,0.956770599864805,0.5881162744748544,159.5305504289863,1.0597331023628476,2.7300106915488493,0.07904860099676748,MPI-ESM1-2-HR,precip_consensus,1
960,0.6296391970554329,0.7974178887474668,0.16777869169203383,26.646799067889464,1.177485473290082,2.651802150936956,-0.039684129708541294,MPI-ESM1-2-HR,precip_consensus,2
1054,1.5286393068467115,1.178335950236785,-0.35030335660992673,-22.91602440424845,2.2001488285602897,4.506814308571813,-0.017710441947214342,MPI-ESM1-2-HR,precip_consensus,3
1020,3.3015951336251543,2.659524246796963,-0.6420708868281917,-19.447293227719214,3.777109205603121,5.832483762997637,0.07067670927029082,MPI-ESM1-2-HR,precip_consensus,4
1054,8.25663468976617,7.7433026520137735,-0.5133320377523959,-6.217206610686728,7.84873504267541,10.210213327126642,0.07144999954395329,MPI-ESM1-2-HR,precip_consensus,5
1020,10.943573573043981,14.041023570239492,3.0974499971955143,28.303825770634,9.081046020965855,11.388506406662938,-0.003022832502570774,MPI-ESM1-2-HR,precip_consensus,6
1054,7.218289280959809,10.859332896916913,3.641043615957105,50.44191877376462,8.169553120188853,10.348966716207652,-0.010560122011272217,MPI-ESM1-2-HR,precip_consensus,7
1054,8.047922313901696,11.149916155885283,3.1019938419835857,38.54403311802987,8.139585679422467,10.298319036739418,0.03696067869043886,MPI-ESM1-2-HR,precip_consensus,8
1020,11.492642896448613,13.867702230641092,2.3750593341924784,20.66591084045955,8.68071393149532,11.072266064346751,0.0406946385294287,MPI-ESM1-2-HR,precip_consensus,9
1054,7.302695459658507,11.029673341371227,3.7269778817127186,51.03564707444341,9.04683911411082,12.114530876882267,0.07150214819337762,MPI-ESM1-2-HR,precip_consensus,10
1020,2.423605491486269,3.8236595825761976,1.4000540910899293,57.76740876384755,4.354031688599929,7.784279102154555,0.005314303548089012,MPI-ESM1-2-HR,precip_consensus,11
1054,0.7674585471686034,2.2462324144238157,1.4787738672552122,192.68452644261706,2.453847650784551,7.149416011913227,0.00045218985997319674,MPI-ESM1-2-HR,precip_consensus,12
1054,15.332099226326973,15.81690237172439,0.48480314539741787,3.162014139361655,1.553869572854065,1.969250095019699,-0.03480413402599696,MPI-ESM1-2-HR,tas,1
960,16.029824437417012,16.2405813974544,0.2107569600373892,1.314780213970639,1.3089658700269369,1.6653574700714084,0.13731120598259458,MPI-ESM1-2-HR,tas,2
1054,16.62624387650164,17.4382837428021,0.8120398663004634,4.884084898141927,1.5836151005538441,1.9980818828658795,0.10537294656497345,MPI-ESM1-2-HR,tas,3
1020,17.132186214938045,18.528842895533995,1.3966566805959495,8.15223850052578,1.8089377531410598,2.2447100667053386,0.006352267339005015,MPI-ESM1-2-HR,tas,4
1054,17.043248637548622,18.649517335078006,1.606268697529389,9.424662701866344,1.8020100499535439,2.181102006551933,0.00227963081458754,MPI-ESM1-2-HR,tas,5
1020,16.62766233701668,18.246093045018792,1.618430708002111,9.733362845594616,1.6507825040560182,1.9273383302403067,-0.016914751886705166,MPI-ESM1-2-HR,tas,6
1054,16.56660255028934,18.05861928678385,1.4920167364945056,9.006172098143606,1.546129769865372,1.8072144122018674,0.06945889517108551,MPI-ESM1-2-HR,tas,7
1054,16.605652794195006,17.95656904347811,1.3509162492831042,8.135279389650714,1.4101268090839656,1.6689882473842288,0.05325997266366379,MPI-ESM1-2-HR,tas,8
1020,16.254945785407532,17.756882789813755,1.5019370044062204,9.239877045634605,1.5185607057168597,1.7756965762445243,0.014782255495795541,MPI-ESM1-2-HR,tas,9
1054,16.055269399064187,17.457761126860706,1.4024917277965194,8.735398285364594,1.5022176510985261,1.7553546709446586,0.128550843668077,MPI-ESM1-2-HR,tas,10
1020,15.622706843760522,17.067488021139415,1.4447811773788923,9.247956783852194,1.7972794677961634,2.1418321482613756,0.013531585699587489,MPI-ESM1-2-HR,tas,11
1054,15.362106867669596,16.420469483211726,1.0583626155421297,6.889436616077137,1.7838920406746288,2.1215017659581674,0.0468695408246343,MPI-ESM1-2-HR,tas,12
1054,11.866369181069388,9.47307560533744,-2.3932935757319487,-20.168709899486434,2.8572142843230703,3.6185407044623776,-0.0734602386903972,MPI-ESM1-2-HR,tasmin,1
960,12.24321210221052,9.633427900477642,-2.6097842017328787,-21.3161724222819,2.8577468707335965,3.508308024502538,0.08199919990356577,MPI-ESM1-2-HR,tasmin,2
1054,12.879569901170148,10.883020249897992,-1.9965496512721543,-15.501679532720745,2.5289370965531504,3.1915179372699978,0.0815100691669073,MPI-ESM1-2-HR,tasmin,3
1020,13.75964925672512,12.314435705325767,-1.4452135513993538,-10.50327318985254,1.9639679409793531,2.5560850218981823,-0.006118089941886756,MPI-ESM1-2-HR,tasmin,4
1054,14.386521793153456,13.130934727004927,-1.255587066148528,-8.727523470934175,1.6233929619057943,2.1680554350564822,0.06737432984504133,MPI-ESM1-2-HR,tasmin,5
1020,14.484391844133354,13.672101574788147,-0.8122902693452088,-5.608038487816888,1.1677251069227979,1.53528801943222,-0.06943682418431103,MPI-ESM1-2-HR,tasmin,6
1054,14.118229145314213,13.290385425129504,-0.8278437201847104,-5.863651253028916,1.187398721628394,1.5773014555543687,0.030147889818822854,MPI-ESM1-2-HR,tasmin,7
1054,14.200022594868791,12.822402331130483,-1.3776202637383093,-9.701535716120025,1.536173477712987,1.9642540184086108,0.00691832247036585,MPI-ESM1-2-HR,tasmin,8
1020,14.214839590717506,12.912689834181112,-1.3021497565363938,-9.160495609016342,1.425170951684582,1.7614115290928127,0.02605987426227188,MPI-ESM1-2-HR,tasmin,9
1054,13.875989385329087,12.649205184532931,-1.226784200796157,-8.841057503929925,1.5633159609022893,1.9997302314087575,0.1489248094069221,MPI-ESM1-2-HR,tasmin,10
1020,12.972037244638594,11.771021859244543,-1.2010153853940517,-9.258494735593187,1.9671533418492197,2.655259290285843,-0.01565599731977222,MPI-ESM1-2-HR,tasmin,11
1054,12.298558151070695,10.537533997444664,-1.7610241536260307,-14.318948058742304,2.347124675672819,3.118161862640126,-0.0026826609459814858,MPI-ESM1-2-HR,tasmin,12
1054,20.189968832132156,22.160729616090645,1.9707607839584855,9.761088787923423,2.334360534689366,2.870795716994296,0.02370903105701548,MPI-ESM1-2-HR,tasmax,1
960,21.262673748130634,22.847735650248456,1.5850619021178185,7.454668781987841,2.1163799001530355,2.626514788969725,0.06499586477462588,MPI-ESM1-2-HR,tasmax,2
1054,21.759423145302176,23.993547248680162,2.2341241033779844,10.267386632721134,2.6410763410720146,3.243421360191612,0.048666754801836166,MPI-ESM1-2-HR,tasmax,3
1020,21.73241687884188,24.743250233703264,3.010833354861379,13.854111908706518,3.3543603550745877,4.017937010729147,0.04051266723646948,MPI-ESM1-2-HR,tasmax,4
1054,20.911058339737632,24.16810046875428,3.257042129016643,15.57569242120678,3.532800313838026,4.29198842302792,0.014380778624343261,MPI-ESM1-2-HR,tasmax,5
1020,20.019818351758104,22.820084704247186,2.80026635248908,13.9874713310931,2.883280808896982,3.3613109893151103,0.05136726661229275,MPI-ESM1-2-HR,tasmax,6
1054,20.083047578325736,22.826852795926477,2.743805217600746,13.662295062040025,2.7867618980231392,3.1606987434895193,0.05776012804573247,MPI-ESM1-2-HR,tasmax,7
1054,20.16143148016815,23.09073536391752,2.9293038837493683,14.529245538099746,2.951812615787752,3.3231874869180635,0.05757301322145799,MPI-ESM1-2-HR,tasmax,8
1020,19.65600290681619,22.601076460237195,2.9450735534210075,14.98307447034276,2.9790728153758432,3.4143377103362673,0.03302730454678111,MPI-ESM1-2-HR,tasmax,9
