model,n,obs_mean,sim_mean,bias,relative_bias_pct,mae,rmse,pearson_r,variable,obs_column,cmip_column,obs_trend_per_decade,cmip_trend_per_decade,trend_difference_per_decade
CMCC-ESM2,12418,6.079980339721177,6.508643386313067,0.42866304659189036,7.050401853956463,6.081010669869632,9.895078853444074,0.3212638930164089,precip_vs_era5,era_precip_mm,pr_mm_day,86.55034280169134,27.348583915672396,-59.20175888601895
CMCC-ESM2,12418,4.328760014802917,6.508643386313067,2.1798833715101504,50.35814792355491,6.036529392237282,9.898962232128744,0.2794505049110057,precip_vs_chirps,chirps_precip_mm,pr_mm_day,79.57510910232666,27.348583915672396,-52.22652518665427
CMCC-ESM2,12418,5.204370177262047,6.508643386313067,1.3042732090510203,25.06111526711541,5.693911707161383,9.177724044251867,0.34195502791429633,precip_vs_consensus,precip_consensus_mm,pr_mm_day,83.06272595200895,27.348583915672396,-55.714142036336554
CMCC-ESM2,12418,16.271866007186908,17.542892268962998,1.2710262617760852,7.811189332647542,1.6304847495057202,1.9582281887496218,0.3494902067388745,tas,tmean_c,tas_c,0.1007013019605791,0.21977567707532297,0.11907437511474388
CMCC-ESM2,12418,13.446130142796218,12.026122217535992,-1.420007925260225,-10.560718289797276,1.824658130873241,2.438207197293589,0.43149383641372124,tasmin,tmin_c,tasmin_c,0.07892369263680964,0.2548157407774678,0.17589204814065817
CMCC-ESM2,12418,20.360605624004958,23.05966249992381,2.699056875918855,13.256270101988976,2.9050569651678884,3.428743989980364,0.2234851949407661,tasmax,tmax_c,tasmax_c,0.15571252815721662,0.1847356627342114,0.02902313457699479
CMCC-ESM2,12418,78.48741874049715,80.71414691338026,2.2267281728831056,2.8370510950873977,7.373749272587114,9.449776362070743,0.5755075428363025,rh,rh_derived_pct,rh_pct,-0.45331520094804933,0.4643143206986277,0.917629521646677
CMCC-ESM2,12418,18.958588617734225,20.777988896881848,1.8194002791476225,9.596707412310856,3.283361889424572,4.294511786761326,0.2817942346700732,shortwave,solar_mj_m2,rsds_mj_m2_day,-0.002873918555563225,-0.13798532952128478,-0.13511141096572155
CMCC-ESM2,12418,31.14497811398399,28.333749306726844,-2.8112288072571383,-9.026266761108772,2.879962887653323,3.15113967734489,0.42195055094452716,longwave,longwave_mj_m2,rlds_mj_m2_day,0.05663920573494642,0.1160609400070102,0.05942173427206378
CMCC-ESM2,12418,0.8453482250675511,2.8091629418576574,1.9638147167901059,232.30837405888903,1.9866139302355654,2.445409464956002,0.13505617993826435,wind,wind_ms,sfcWind_ms,0.013394066583884399,-0.038707386897048016,-0.05210145348093241
CNRM-CM6-1,12418,6.079980339721177,6.843390702960058,0.7634103632388809,12.556132102129302,5.952495507044201,9.767904100106868,0.33072927402286484,precip_vs_era5,era_precip_mm,pr_mm_day,86.55034280169134,-51.06845644603841,-137.61879924772975
CNRM-CM6-1,12418,4.328760014802917,6.843390702960058,2.5146306881571405,58.09124736778988,5.999121121789207,9.756419370010779,0.3009721241751407,precip_vs_chirps,chirps_precip_mm,pr_mm_day,79.57510910232666,-51.06845644603841,-130.64356554836507
CNRM-CM6-1,12418,5.204370177262047,6.843390702960058,1.6390205256980108,31.493158055107422,5.574836623957278,9.032133411002532,0.359048471321614,precip_vs_consensus,precip_consensus_mm,pr_mm_day,83.06272595200895,-51.06845644603841,-134.13118239804737
CNRM-CM6-1,12418,16.271866007186908,17.4504232039953,1.1785571968083859,7.242913604916882,1.5369794048568566,1.8813147080876829,0.3442454779609406,tas,tmean_c,tas_c,0.1007013019605791,0.2822761374962109,0.1815748355356318
CNRM-CM6-1,12418,13.446130142796218,11.928143068293762,-1.5179870745024566,-11.289397457719241,1.9081097172234343,2.4849902393721983,0.43431687523702217,tasmin,tmin_c,tasmin_c,0.07892369263680964,0.20491091875021616,0.12598722611340651
CNRM-CM6-1,12418,20.360605624004958,22.972703311817998,2.612097687813042,12.829174809679552,2.799690554937357,3.3226599893016653,0.24390535649571748,tasmax,tmax_c,tasmax_c,0.15571252815721662,0.3596413568004777,0.2039288286432611
CNRM-CM6-1,12418,78.48741874049715,81.20582621402325,2.718407473526089,3.4634945538392032,7.402012704702036,9.418755973501098,0.5830966221302405,rh,rh_derived_pct,rh_pct,-0.45331520094804933,-0.4385069720740945,0.014808228873954832
CNRM-CM6-1,12418,18.958588617734225,20.728848528045344,1.7702599103111172,9.33750895704959,3.2030254285907196,4.199113273883391,0.31446927200638625,shortwave,solar_mj_m2,rsds_mj_m2_day,-0.002873918555563225,0.030571575473352795,0.03344549402891602
CNRM-CM6-1,12418,31.14497811398399,28.323703800070238,-2.821274313913746,-9.058520778497526,2.8837322419500167,3.146998790892507,0.4458486696777453,longwave,longwave_mj_m2,rlds_mj_m2_day,0.05663920573494642,0.045915208039063744,-0.010723997695882677
CNRM-CM6-1,12418,0.8453482250675511,2.757427447638033,1.9120792225704821,226.18835242928313,1.9336108481296352,2.391399452197801,0.10728486532514649,wind,wind_ms,sfcWind_ms,0.013394066583884399,0.008093234682373123,-0.005300831901511276
CNRM-ESM2-1,12418,6.079980339721177,6.641583411235451,0.561603071514274,9.236922492088661,5.835485648045714,9.54823490193122,0.3445718928523497,precip_vs_era5,era_precip_mm,pr_mm_day,86.55034280169134,66.40947199489419,-20.140870806797153
CNRM-ESM2-1,12418,4.328760014802917,6.641583411235451,2.3128233964325338,53.429235820961395,5.8993289946592995,9.591633129627837,0.30066182718503714,precip_vs_chirps,chirps_precip_mm,pr_mm_day,79.57510910232666,66.40947199489419,-13.165637107432474
CNRM-ESM2-1,12418,5.204370177262047,6.641583411235451,1.4372132339734036,27.61550744896289,5.464696932295861,8.824041429858605,0.3672590454507355,precip_vs_consensus,precip_consensus_mm,pr_mm_day,83.06272595200895,66.40947199489419,-16.653253957114757
CNRM-ESM2-1,12418,16.271866007186908,17.44872552033953,1.1768595131526178,7.232480359860548,1.5689708427338802,1.9030644462192048,0.3160833257369481,tas,tmean_c,tas_c,0.1007013019605791,0.22757253341039763,0.12687123144981854
CNRM-ESM2-1,12418,13.446130142796218,11.902276871356058,-1.5438532714401603,-11.481766538361834,1.9159090049665017,2.51050663942622,0.42065818049099335,tasmin,tmin_c,tasmin_c,0.07892369263680964,0.2369112588844384,0.15798756624762877
CNRM-ESM2-1,12418,20.360605624004958,22.99517432206573,2.6345686980607756,12.939539946467235,2.8328364391012437,3.360741146273711,0.22291005973245473,tasmax,tmax_c,tasmax_c,0.15571252815721662,0.21823379966613962,0.062521271508923
CNRM-ESM2-1,12418,78.48741874049715,81.11233662995399,2.6249178894568397,3.344380451771006,7.445116698255876,9.48181791485582,0.5744096258205758,rh,rh_derived_pct,rh_pct,-0.45331520094804933,-0.00662012537953964,0.4466950755685097
CNRM-ESM2-1,12418,18.958588617734225,20.784076418925174,1.8254878011909523,9.628816986320153,3.2616120352230173,4.279591270327095,0.2882163328512524,shortwave,solar_mj_m2,rsds_mj_m2_day,-0.002873918555563225,-0.06172389790375734,-0.058849979348194116
CNRM-ESM2-1,12418,31.14497811398399,28.315649136885874,-2.8293289770981134,-9.084382614569103,2.892230390557429,3.15573539995346,0.44020286496786865,longwave,longwave_mj_m2,rlds_mj_m2_day,0.05663920573494642,0.06544000401927094,0.00880079828432452
CNRM-ESM2-1,12418,0.8453482250675511,2.802215482466175,1.9568672573986243,231.4865281987494,1.9758846756831239,2.4338711997207563,0.13229086754267347,wind,wind_ms,sfcWind_ms,0.013394066583884399,0.018694771992445354,0.005300705408560955
CanESM5,12418,6.079980339721177,6.762450031262173,0.6824696915409956,11.22486674968908,5.446559081005546,8.70693243385415,0.38534805010281886,precip_vs_era5,era_precip_mm,pr_mm_day,86.55034280169134,-49.99581248626305,-136.54615528795438
CanESM5,12418,4.328760014802917,6.762450031262173,2.433690016459255,56.22141232447274,5.557646696633134,8.640552888700693,0.35747251364931415,precip_vs_chirps,chirps_precip_mm,pr_mm_day,79.57510910232666,-49.99581248626305,-129.57092158858973
CanESM5,12418,5.204370177262047,6.762450031262173,1.5580798540001255,29.937913732720133,5.020880459796539,7.84311880268384,0.4219334652568044,precip_vs_consensus,precip_consensus_mm,pr_mm_day,83.06272595200895,-49.99581248626305,-133.058538438272
CanESM5,12418,16.271866007186908,17.55523639004806,1.283370382861146,7.887051075115237,1.5795179575224436,1.8775478103722492,0.38434825655444815,tas,tmean_c,tas_c,0.1007013019605791,0.4376685771486595,0.3369672751880804
CanESM5,12418,13.446130142796218,11.973132711928,-1.4729974308682174,-10.954805696696143,1.747591643876779,2.247529480466274,0.49268697436649883,tasmin,tmin_c,tasmin_c,0.07892369263680964,0.3363478622738868,0.25742416963707715
