model,metric,reference,cmip6,difference,relative_difference_pct
CNRM-ESM2-1,wet_day_mean_mm,8.191842285388477,11.213662426721712,3.021820141333235,36.88816307808022
CNRM-ESM2-1,annual_precip_mean_mm,1900.8196723894148,2425.7406706094657,524.9209982200509,27.615507448962898
CanESM5,days_precip_ge_0.1mm_pct,87.49396038009341,84.47415042679981,-3.0198099532936027,-3.451449608835707
CanESM5,days_precip_ge_1mm_pct,62.15171525205348,68.48123691415687,6.329521662103389,10.1839854884685
CanESM5,days_precip_ge_10mm_pct,19.785794813979706,29.078756643581897,9.292961829602191,46.967846967846974
CanESM5,days_precip_ge_20mm_pct,3.688194556289257,6.377838621356095,2.689644065066838,72.92576419213974
CanESM5,days_precip_ge_50mm_pct,0.08052826542116283,0.03221130616846513,-0.048316959252697696,-60.0
CanESM5,dry_days_lt_1mm_pct,37.84828474794653,31.518763085843133,-6.329521662103396,-16.723404255319142
CanESM5,wet_day_mean_mm,8.191842285388477,9.761343502871577,1.5695012174831007,19.15931926915352
CanESM5,annual_precip_mean_mm,1900.8196723894148,2469.885426123931,569.0657537345164,29.93791373272013
EC-Earth3,days_precip_ge_0.1mm_pct,87.49396038009341,72.06474472539861,-15.4292156546948,-17.634606534744595
EC-Earth3,days_precip_ge_1mm_pct,62.15171525205348,60.21098405540345,-1.9407311966500274,-3.122570614148748
EC-Earth3,days_precip_ge_10mm_pct,19.785794813979706,29.408922531808663,9.623127717828957,48.63654863654864
EC-Earth3,days_precip_ge_20mm_pct,3.688194556289257,9.301014656144305,5.612820099855048,152.1834061135371
EC-Earth3,days_precip_ge_50mm_pct,0.08052826542116283,0.11273957158962795,0.032211306168465126,39.99999999999999
EC-Earth3,dry_days_lt_1mm_pct,37.84828474794653,39.78901594459655,1.9407311966500203,5.127659574468074
EC-Earth3,wet_day_mean_mm,8.191842285388477,11.248822450081299,3.0569801646928223,37.31737084520607
EC-Earth3,annual_precip_mean_mm,1900.8196723894148,2494.7965455658154,593.9768731764007,31.248459904128904
GFDL-ESM4,days_precip_ge_0.1mm_pct,87.49396038009341,69.29457239491062,-18.199387985182796,-20.80073630924988
GFDL-ESM4,days_precip_ge_1mm_pct,62.15171525205348,56.1845707843453,-5.967144467708181,-9.600932884166905
GFDL-ESM4,days_precip_ge_10mm_pct,19.785794813979706,27.95136092768562,8.165566113705914,41.26984126984129
GFDL-ESM4,days_precip_ge_20mm_pct,3.688194556289257,9.470124013528748,5.781929457239491,156.76855895196508
GFDL-ESM4,days_precip_ge_50mm_pct,0.08052826542116283,0.15300370430020938,0.07247543887904655,90.0
