model,variable,quantile,obs_value,cmip_value,difference,relative_difference_pct
CNRM-CM6-1,rh,0.99,96.10186713446025,95.53007870450044,-0.5717884299598097,-0.5949816033852869
CNRM-CM6-1,shortwave,0.01,8.123637298959586,15.41146680110944,7.287829502149853,89.71140923639246
CNRM-CM6-1,shortwave,0.05,12.362643611951848,16.945658660828638,4.58301504887679,37.071480766832615
CNRM-CM6-1,shortwave,0.1,14.294086126913156,17.738042917920723,3.443956791007567,24.093578004425375
CNRM-CM6-1,shortwave,0.25,16.740133504729148,19.017941178919056,2.2778076741899085,13.606866836195898
CNRM-CM6-1,shortwave,0.5,19.14489942046432,20.55436912461578,1.4094697041514586,7.362116003831557
CNRM-CM6-1,shortwave,0.75,21.47965527773001,22.363070602667136,0.8834153249371255,4.112800291786087
CNRM-CM6-1,shortwave,0.9,23.61945787306535,24.029537139152154,0.4100792660868038,1.7361925421431503
CNRM-CM6-1,shortwave,0.95,24.823127847501073,25.033992613985653,0.21086476648457975,0.8494689620905584
CNRM-CM6-1,shortwave,0.99,26.853095109922613,26.507683481749492,-0.345411628173121,-1.2863009897339035
CNRM-CM6-1,longwave,0.01,26.889406656990545,25.29676834190894,-1.5926383150816044,-5.9229210052783365
CNRM-CM6-1,longwave,0.05,28.27366862738607,26.362556323242192,-1.9111123041438773,-6.759336148874437
CNRM-CM6-1,longwave,0.1,29.013446756577814,26.87700638383709,-2.136440372740722,-7.363621394815343
CNRM-CM6-1,longwave,0.25,30.238961359415303,27.701943822041493,-2.53701753737381,-8.389896422761478
CNRM-CM6-1,longwave,0.5,31.45313495571797,28.55367129386527,-2.8994636618526997,-9.218361431808871
CNRM-CM6-1,longwave,0.75,32.26054012532244,29.07841133452869,-3.1821287907937545,-9.863842261884477
CNRM-CM6-1,longwave,0.9,32.80311042321582,29.445718105788934,-3.3573923174268856,-10.23498160421626
CNRM-CM6-1,longwave,0.95,33.08532702089423,29.631468072569803,-3.453858948324431,-10.4392468182141
CNRM-CM6-1,longwave,0.99,33.60379732077386,29.97672748357454,-3.6270698371993184,-10.793630858370475
CNRM-CM6-1,wind,0.01,0.12362079876653172,0.9584723339966738,0.834851535230142,675.332584451933
CNRM-CM6-1,wind,0.05,0.21661594904492043,1.1994104712061544,0.982794522161234,453.70367532698543
CNRM-CM6-1,wind,0.1,0.28935312804449365,1.3721913928542633,1.0828382648097696,374.2272537808067
CNRM-CM6-1,wind,0.25,0.4523419982740058,1.7516629888060313,1.2993209905320255,287.243058457942
CNRM-CM6-1,wind,0.5,0.7499348093163911,2.3768798490691054,1.6269450397527143,216.94486234553756
CNRM-CM6-1,wind,0.75,1.1569305560826137,3.385536553104067,2.2286059970214533,192.63092199479547
CNRM-CM6-1,wind,0.9,1.5341475522071901,4.75536121566439,3.2212136634572,209.9676565544699
CNRM-CM6-1,wind,0.95,1.7712679477171462,5.641688210065248,3.8704202623481017,218.51127986233786
CNRM-CM6-1,wind,0.99,2.290385645051189,7.325153490285404,5.034767845234215,219.8218390039591
CNRM-ESM2-1,precip_consensus,0.01,0.001364441540446398,0.0,-0.001364441540446398,-100.0
CNRM-ESM2-1,precip_consensus,0.05,0.020303170461220998,0.0,-0.020303170461220998,-99.99999999999999
CNRM-ESM2-1,precip_consensus,0.1,0.06654387951424576,0.0,-0.06654387951424576,-100.0
CNRM-ESM2-1,precip_consensus,0.25,0.36593424518266227,0.1636781374003714,-0.20225610778229086,-55.271161539235365
CNRM-ESM2-1,precip_consensus,0.5,2.2381017066336617,2.38495455514716,0.1468528485134981,6.561491288721642
CNRM-ESM2-1,precip_consensus,0.75,8.251458253782918,11.513310014155739,3.2618517603728208,39.53060974255563
CNRM-ESM2-1,precip_consensus,0.9,14.360511428963337,18.85455645262036,4.494045023657025,31.294463612160104
CNRM-ESM2-1,precip_consensus,0.95,18.3865296573891,23.325509843225664,4.938980185836563,26.861948817251147
CNRM-ESM2-1,precip_consensus,0.99,27.626554028149616,33.0191238058395,5.392569777689882,19.519516520935667
CNRM-ESM2-1,tas,0.01,13.562005271069761,12.61770789307977,-0.9442973779899919,-6.9628152999199235
CNRM-ESM2-1,tas,0.05,14.648812302124492,14.71244425122206,0.06363194909756764,0.43438299150258897
CNRM-ESM2-1,tas,0.1,15.102207967988353,15.607648055279862,0.5054400872915092,3.346795967602047
CNRM-ESM2-1,tas,0.25,15.737775453943096,16.78073910572492,1.0429636517818235,6.627135168080628
CNRM-ESM2-1,tas,0.5,16.308847934518468,17.58637973806248,1.2775318035440115,7.833366333866254
CNRM-ESM2-1,tas,0.75,16.865925052617698,18.29188523422827,1.4259601816105736,8.454681122807763
CNRM-ESM2-1,tas,0.9,17.407313362279044,19.10132417939402,1.6940108171149753,9.731604078466406
CNRM-ESM2-1,tas,0.95,17.745614703974663,19.639290514669806,1.893675810695143,10.671232539896167
CNRM-ESM2-1,tas,0.99,18.484926735967406,20.828415702444634,2.343488966477228,12.677837461575319
CNRM-ESM2-1,tasmin,0.01,9.542661946133531,5.192414062166497,-4.350247883967034,-45.5873623997511
CNRM-ESM2-1,tasmin,0.05,10.947149455496104,7.804758399171279,-3.1423910563248256,-28.705107837430344
CNRM-ESM2-1,tasmin,0.1,11.58470564339559,8.960294579677917,-2.624411063717673,-22.65410226641229
CNRM-ESM2-1,tasmin,0.25,12.685621447575494,10.752226640878503,-1.9333948066969917,-15.240836364910658
CNRM-ESM2-1,tasmin,0.5,13.742193880351806,12.406566248826014,-1.3356276315257922,-9.719173249588877
CNRM-ESM2-1,tasmin,0.75,14.416768534718585,13.391341896265605,-1.0254266384529807,-7.11273567293211
CNRM-ESM2-1,tasmin,0.9,14.858966332105167,14.140942566251518,-0.7180237658536495,-4.832259188192954
CNRM-ESM2-1,tasmin,0.95,15.083673829122157,14.539860576358672,-0.5438132527634849,-3.6053103436481155
CNRM-ESM2-1,tasmin,0.99,15.500298562545993,15.266633048969563,-0.23366551357642962,-1.5074904049980378
CNRM-ESM2-1,tasmax,0.01,17.143873053540084,19.001714654307573,1.8578416007674896,10.836767135206118
CNRM-ESM2-1,tasmax,0.05,18.276754090956164,20.210512363454704,1.9337582724985403,10.580425073702866
CNRM-ESM2-1,tasmax,0.1,18.767814756936303,20.814962134856366,2.047147377920062,10.907755668056492
CNRM-ESM2-1,tasmax,0.25,19.459682347173867,21.70961605551467,2.2499337083408015,11.562026903628054
CNRM-ESM2-1,tasmax,0.5,20.219715939076544,22.8161761007674,2.5964601616908567,12.841229666698473
CNRM-ESM2-1,tasmax,0.75,21.15149426054363,24.08220733475818,2.9307130742145517,13.855820483007461
CNRM-ESM2-1,tasmax,0.9,22.202173256976607,25.47262895094244,3.2704556939658325,14.730340386557224
CNRM-ESM2-1,tasmax,0.95,22.940708978444693,26.409022146756552,3.468313168311859,15.118596254242702
CNRM-ESM2-1,tasmax,0.99,24.19964496694552,28.318620885630146,4.118975918684626,17.02081135616149
CNRM-ESM2-1,rh,0.01,54.24143437771188,56.28712091560572,2.045686537893836,3.7714462409836647
CNRM-ESM2-1,rh,0.05,60.72498947629099,62.97696194779026,2.251972471499265,3.7084773351480087
CNRM-ESM2-1,rh,0.1,64.51737287922357,67.14843112966402,2.6310582504404465,4.078061664670978
CNRM-ESM2-1,rh,0.25,71.44038562554204,74.14653570665037,2.7061500811083334,3.7879835857728144
CNRM-ESM2-1,rh,0.5,79.06523449541791,84.12649221368176,5.061257718263846,6.401369388915381
CNRM-ESM2-1,rh,0.75,86.61181384245056,88.59256119024558,1.9807473477950168,2.2869251432582334
CNRM-ESM2-1,rh,0.9,91.60414646206316,91.21721743807767,-0.3869290239854877,-0.4223924777747152
CNRM-ESM2-1,rh,0.95,93.54094944239945,92.83107482618321,-0.7098746162162399,-0.7588918227234435
CNRM-ESM2-1,rh,0.99,96.10186713446025,95.32911065273596,-0.7727564817242865,-0.8041014235895019
CNRM-ESM2-1,shortwave,0.01,8.123637298959586,15.561173802198066,7.43753650323848,91.55426602060413
CNRM-ESM2-1,shortwave,0.05,12.362643611951848,17.0267469058978,4.664103293945951,37.727394239827724
CNRM-ESM2-1,shortwave,0.1,14.294086126913156,17.75558492995966,3.4614988030465046,24.216300169964235
CNRM-ESM2-1,shortwave,0.25,16.740133504729148,19.054717197305646,2.314583692576498,13.826554560766317
CNRM-ESM2-1,shortwave,0.5,19.14489942046432,20.643674172723486,1.4987747522591661,7.828585146062974
CNRM-ESM2-1,shortwave,0.75,21.47965527773001,22.409634414622822,0.9299791368928112,4.329581293872106
CNRM-ESM2-1,shortwave,0.9,23.61945787306535,24.049719863921624,0.43026199085627326,1.8216421103675127
CNRM-ESM2-1,shortwave,0.95,24.823127847501073,25.036296340372058,0.2131684928709845,0.8587495265728329
CNRM-ESM2-1,shortwave,0.99,26.853095109922613,26.71595006029073,-0.1371450496318829,-0.5107234345630638
CNRM-ESM2-1,longwave,0.01,26.889406656990545,25.354737969390367,-1.5346686876001776,-5.707335632864192
CNRM-ESM2-1,longwave,0.05,28.27366862738607,26.386998957479513,-1.8866696699065564,-6.672885980134588
CNRM-ESM2-1,longwave,0.1,29.013446756577814,26.852417395139604,-2.16102936143821,-7.448371713878738
CNRM-ESM2-1,longwave,0.25,30.238961359415303,27.713586397765113,-2.52537496165019,-8.351394519256134
CNRM-ESM2-1,longwave,0.5,31.45313495571797,28.544709238121158,-2.9084257175968133,-9.246854794256624
CNRM-ESM2-1,longwave,0.75,32.26054012532244,29.06140171778945,-3.199138407532992,-9.916568027396027
CNRM-ESM2-1,longwave,0.9,32.80311042321582,29.430147211033557,-3.3729632121822632,-10.28244934295959
CNRM-ESM2-1,longwave,0.95,33.08532702089423,29.618056783747438,-3.4672702371467956,-10.479782276164674
CNRM-ESM2-1,longwave,0.99,33.60379732077386,29.961411218910094,-3.6423861018637638,-10.839209828265574
CNRM-ESM2-1,wind,0.01,0.12362079876653172,0.9773320414752908,0.8537112427087591,690.5886802439003
CNRM-ESM2-1,wind,0.05,0.21661594904492043,1.2298859734678529,1.0132700244229325,467.7725850245713
CNRM-ESM2-1,wind,0.1,0.28935312804449365,1.3841974743077015,1.0948443462632078,378.37653723060987
CNRM-ESM2-1,wind,0.25,0.4523419982740058,1.771298586670818,1.3189565883968122,291.583932827271
CNRM-ESM2-1,wind,0.5,0.7499348093163911,2.4199612909327444,1.6700264816163533,222.68955392785128
CNRM-ESM2-1,wind,0.75,1.1569305560826137,3.446283956368764,2.28935340028615,197.8816609389192
CNRM-ESM2-1,wind,0.9,1.5341475522071901,4.829299562746058,3.2951520105388683,214.7871634510062
CNRM-ESM2-1,wind,0.95,1.7712679477171462,5.765133706468051,3.9938657587509043,225.48060918159203
CNRM-ESM2-1,wind,0.99,2.290385645051189,7.446621964616201,5.156236319565012,225.12524607836392
CanESM5,precip_consensus,0.01,0.001364441540446398,0.0,-0.001364441540446398,-100.0
CanESM5,precip_consensus,0.05,0.020303170461220998,0.0,-0.020303170461220998,-99.99999999999999
CanESM5,precip_consensus,0.1,0.06654387951424576,0.011081526140440421,-0.05546235337380534,-83.3470392448819
CanESM5,precip_consensus,0.25,0.36593424518266227,0.5237534138091102,0.15781916862644796,43.12773967018852
CanESM5,precip_consensus,0.5,2.2381017066336617,3.7937452365858024,1.5556435299521407,69.50727598041068
CanESM5,precip_consensus,0.75,8.251458253782918,11.376294447299948,3.12483619351703,37.8701084997241
CanESM5,precip_consensus,0.9,14.360511428963337,17.47768386763323,3.1171724386698916,21.70655588479216
CanESM5,precip_consensus,0.95,18.3865296573891,21.62546531236196,3.2389356549728596,17.61580741622555
CanESM5,precip_consensus,0.99,27.626554028149616,29.453795408921653,1.827241380772037,6.614076366202602
CanESM5,tas,0.01,13.562005271069761,12.963182237969095,-0.5988230331006665,-4.415446102045585
CanESM5,tas,0.05,14.648812302124492,14.919346026644702,0.2705337245202095,1.8467963063529353
CanESM5,tas,0.1,15.102207967988353,15.862977308262916,0.7607693402745639,5.037470957141773
CanESM5,tas,0.25,15.737775453943096,16.960884494468836,1.22310904052574,7.7718038620209855
CanESM5,tas,0.5,16.308847934518468,17.717376025257238,1.4085280907387698,8.636588533991734
CanESM5,tas,0.75,16.865925052617698,18.334899427070013,1.4689743744523156,8.709717195288507
CanESM5,tas,0.9,17.407313362279044,19.01846041653328,1.6111470542542357,9.255575634925531
CanESM5,tas,0.95,17.745614703974663,19.61228094048841,1.8666662365137476,10.519028321378192
CanESM5,tas,0.99,18.484926735967406,20.83198858542523,2.3470618494578233,12.69716609095876
CanESM5,tasmin,0.01,9.542661946133531,5.91858456804455,-3.6240773780889812,-37.97763557533728
CanESM5,tasmin,0.05,10.947149455496104,8.327231226853357,-2.6199182286427476,-23.932424046036903
CanESM5,tasmin,0.1,11.58470564339559,9.435322062174501,-2.1493835812210893,-18.553631377301734
CanESM5,tasmin,0.25,12.685621447575494,10.957325652909432,-1.728295794666062,-13.624053041535287
CanESM5,tasmin,0.5,13.742193880351806,12.387172828215743,-1.3550210521360633,-9.860296426711265
CanESM5,tasmin,0.75,14.416768534718585,13.278530792069589,-1.1382377426489967,-7.895234912788416
CanESM5,tasmin,0.9,14.858966332105167,13.968990121643422,-0.8899762104617448,-5.989489380151628
CanESM5,tasmin,0.95,15.083673829122157,14.400644012617956,-0.6830298165042006,-4.528272251455545
CanESM5,tasmin,0.99,15.500298562545993,15.185081883831774,-0.31521667871421855,-2.0336168199746134
CanESM5,tasmax,0.01,17.143873053540084,19.274566550333017,2.130693496792933,12.428308878272755
CanESM5,tasmax,0.05,18.276754090956164,20.662579662552318,2.385825571596154,13.053880134967322
CanESM5,tasmax,0.1,18.767814756936303,21.23537989548649,2.467565138550185,13.147855360402094
CanESM5,tasmax,0.25,19.459682347173867,22.057776637676657,2.5980942905027895,13.351164958147999
CanESM5,tasmax,0.5,20.219715939076544,22.996353216119175,2.7766372770426315,13.732325841811225
CanESM5,tasmax,0.75,21.15149426054363,24.085797944616118,2.934303684072489,13.872796162426175
CanESM5,tasmax,0.9,22.202173256976607,25.285120929655506,3.0829476726788982,13.885792336613449
CanESM5,tasmax,0.95,22.940708978444693,26.193189001865097,3.2524800234204037,14.177765937733069
CanESM5,tasmax,0.99,24.19964496694552,27.763099061726248,3.5634540947807274,14.725232951343196
CanESM5,rh,0.01,54.24143437771188,58.89624156264008,4.654807184928195,8.581644711889998
CanESM5,rh,0.05,60.72498947629099,63.97055407873268,3.2455646024416893,5.344693560974371
CanESM5,rh,0.1,64.51737287922357,67.53936488250565,3.0219920032820795,4.6839972993619
CanESM5,rh,0.25,71.44038562554204,73.91234014333924,2.471954517797201,3.4601640180864375
CanESM5,rh,0.5,79.06523449541791,83.73846714874435,4.673232653326437,5.91060367195555
CanESM5,rh,0.75,86.61181384245056,88.80217533424253,2.1903614917919754,2.5289407929688523
CanESM5,rh,0.9,91.60414646206316,91.01794242650433,-0.5862040355588221,-0.639931769684238
CanESM5,rh,0.95,93.54094944239945,91.96749415371586,-1.57345528868359,-1.6821031837532188
CanESM5,rh,0.99,96.10186713446025,93.41607669726093,-2.6857904371993158,-2.794732836399017
CanESM5,shortwave,0.01,8.123637298959586,16.21141501918705,8.087777720227464,99.55857730456879
CanESM5,shortwave,0.05,12.362643611951848,17.49419594262295,5.131552330671104,41.508535647748246
CanESM5,shortwave,0.1,14.294086126913156,18.161342600457864,3.8672564735447086,27.05494033832195
CanESM5,shortwave,0.25,16.740133504729148,19.208374098680846,2.4682405939516983,14.744449877024048
CanESM5,shortwave,0.5,19.14489942046432,20.608042517289956,1.463143096825636,7.6424694885660065
CanESM5,shortwave,0.75,21.47965527773001,22.34934378001729,0.8696885022872785,4.048894132807461
CanESM5,shortwave,0.9,23.61945787306535,23.814755637487195,0.195297764421845,0.8268511727551311
CanESM5,shortwave,0.95,24.823127847501073,24.62132922219198,-0.20179862530909176,-0.8129460016031247
CanESM5,shortwave,0.99,26.853095109922613,25.92318772697874,-0.929907382943874,-3.46294302067347
CanESM5,longwave,0.01,26.889406656990545,25.345911747598624,-1.5434949093919208,-5.740159792594949
CanESM5,longwave,0.05,28.27366862738607,26.509394594646515,-1.7642740327395536,-6.2399897798570985
CanESM5,longwave,0.1,29.013446756577814,26.977730378618087,-2.0357163779597265,-7.016458247926703
CanESM5,longwave,0.25,30.238961359415303,27.750864453525228,-2.4880969058900746,-8.228116291154864
CanESM5,longwave,0.5,31.45313495571797,28.569907523533555,-2.883227432184416,-9.166741045824637
CanESM5,longwave,0.75,32.26054012532244,29.058637557633197,-3.2019025676892454,-9.925136266320472
CanESM5,longwave,0.9,32.80311042321582,29.38875559522285,-3.4143548279929696,-10.408631327767383
CanESM5,longwave,0.95,33.08532702089423,29.565916421138578,-3.5194105997556555,-10.637375890324607
CanESM5,longwave,0.99,33.60379732077386,29.87742566673604,-3.7263716540378162,-11.089138582960606
CanESM5,wind,0.01,0.12362079876653172,1.1974387449319248,1.0738179461653932,868.6385760970439
CanESM5,wind,0.05,0.21661594904492043,1.434052615804099,1.2174366667591785,562.0254058516782
CanESM5,wind,0.1,0.28935312804449365,1.5758950982588888,1.2865419702143952,444.62694386927956
CanESM5,wind,0.25,0.4523419982740058,1.888559176459338,1.4362171781853321,317.506926985662
CanESM5,wind,0.5,0.7499348093163911,2.3736373355479836,1.6237025262315925,216.5124896271572
CanESM5,wind,0.75,1.1569305560826137,3.2678665548074446,2.110935998724831,182.46004374475987
CanESM5,wind,0.9,1.5341475522071901,4.5883933505073955,3.0542457983002054,199.08422719223051
CanESM5,wind,0.95,1.7712679477171462,5.414456136369966,3.64318818865282,205.68249955339905
CanESM5,wind,0.99,2.290385645051189,6.958061836326057,4.667676191274868,203.79433486933803
EC-Earth3,precip_consensus,0.01,0.001364441540446398,0.0,-0.001364441540446398,-100.0
EC-Earth3,precip_consensus,0.05,0.020303170461220998,0.0,-0.020303170461220998,-99.99999999999999
EC-Earth3,precip_consensus,0.1,0.06654387951424576,0.0,-0.06654387951424576,-100.0
EC-Earth3,precip_consensus,0.25,0.36593424518266227,0.00510718450622795,-0.36082706067643433,-98.60434365641878
EC-Earth3,precip_consensus,0.5,2.2381017066336617,2.685863422907385,0.4477617162737233,20.006316734694046
EC-Earth3,precip_consensus,0.75,8.251458253782918,11.995400272912851,3.7439420191299337,45.37309532425383
EC-Earth3,precip_consensus,0.9,14.360511428963337,19.517808190287393,5.157296761324057,35.91304381348453
EC-Earth3,precip_consensus,0.95,18.3865296573891,23.63490641979714,5.248376762408039,28.544683853915
EC-Earth3,precip_consensus,0.99,27.626554028149616,32.34422375561028,4.717669727460663,17.076576842170297
EC-Earth3,tas,0.01,13.562005271069761,13.329012311091212,-0.2329929599785494,-1.7179831103263616
EC-Earth3,tas,0.05,14.648812302124492,14.946069486023971,0.29725718389947886,2.0292237880361683
EC-Earth3,tas,0.1,15.102207967988353,15.735086609887318,0.6328786418989658,4.190636516464729
EC-Earth3,tas,0.25,15.737775453943096,16.771107891478845,1.0333324375357495,6.565937101846553
EC-Earth3,tas,0.5,16.308847934518468,17.747075882374936,1.4382279478564683,8.818697394390373
EC-Earth3,tas,0.75,16.865925052617698,18.73602222380093,1.8700971711832324,11.08802016698741
EC-Earth3,tas,0.9,17.407313362279044,19.64493059669039,2.2376172344113456,12.854466325976375
EC-Earth3,tas,0.95,17.745614703974663,20.219044377895024,2.4734296739203607,13.938258635618647
EC-Earth3,tas,0.99,18.484926735967406,21.47674572053505,2.9918189845676437,16.18518172834439
EC-Earth3,tasmin,0.01,9.542661946133531,5.468753196841403,-4.073908749292128,-42.6915337909752
EC-Earth3,tasmin,0.05,10.947149455496104,8.103451813244453,-2.8436976422516516,-25.97660380734046
EC-Earth3,tasmin,0.1,11.58470564339559,9.304986388826654,-2.2797192545689366,-19.678698145158297
EC-Earth3,tasmin,0.25,12.685621447575494,10.979084394277793,-1.7065370532977013,-13.452530176390047
EC-Earth3,tasmin,0.5,13.742193880351806,12.598529319554753,-1.1436645607970526,-8.322285151515954
EC-Earth3,tasmin,0.75,14.416768534718585,13.920777642922346,-0.49599089179623945,-3.440374939791743
EC-Earth3,tasmin,0.9,14.858966332105167,14.8841077794143,0.02514144730913337,0.16920051332784342
EC-Earth3,tasmin,0.95,15.083673829122157,15.406114963885889,0.32244113476373215,2.1376830234898923
EC-Earth3,tasmin,0.99,15.500298562545993,16.437655342810817,0.9373567802648246,6.047346613889092
EC-Earth3,tasmax,0.01,17.143873053540084,19.186277259034558,2.042404205494474,11.913318531443121
EC-Earth3,tasmax,0.05,18.276754090956164,20.373221734052173,2.096467643096009,11.47067817766065
EC-Earth3,tasmax,0.1,18.767814756936303,20.960453187702804,2.1926384307665003,11.682971401644584
EC-Earth3,tasmax,0.25,19.459682347173867,21.9081301079422,2.4484477607683317,12.58215687741645
EC-Earth3,tasmax,0.5,20.219715939076544,22.961869853702424,2.742153914625881,13.561782583336914
EC-Earth3,tasmax,0.75,21.15149426054363,24.166214931467216,3.0147206709235874,14.2529914614463
EC-Earth3,tasmax,0.9,22.202173256976607,25.518597545519583,3.3164242885429758,14.937385859291288
EC-Earth3,tasmax,0.95,22.940708978444693,26.405519320795467,3.4648103423507735,15.103327214543988
EC-Earth3,tasmax,0.99,24.19964496694552,28.41550671686894,4.21586174992342,17.421171904306437
EC-Earth3,rh,0.01,54.24143437771188,60.88737536445993,6.645940986748045,12.252517034245132
EC-Earth3,rh,0.05,60.72498947629099,65.67665861161029,4.9516691353193,8.154252768133606
EC-Earth3,rh,0.1,64.51737287922357,68.45223450374083,3.9348616245172536,6.098917933133001
EC-Earth3,rh,0.25,71.44038562554204,73.80846699990862,2.3680813743665823,3.3147656659903633
EC-Earth3,rh,0.5,79.06523449541791,83.27575773228713,4.210523236869221,5.32537880111294
EC-Earth3,rh,0.75,86.61181384245056,88.5687969291145,1.9569830866639393,2.259487476181655
EC-Earth3,rh,0.9,91.60414646206316,90.97366691130759,-0.6304795507555667,-0.6882652970481776
EC-Earth3,rh,0.95,93.54094944239945,92.17146328160018,-1.3694861607992692,-1.4640498829259478
EC-Earth3,rh,0.99,96.10186713446025,94.22750854617259,-1.874358588287663,-1.950387275686504
EC-Earth3,shortwave,0.01,8.123637298959586,15.369194336017546,7.24555703705796,89.1910454690772
EC-Earth3,shortwave,0.05,12.362643611951848,16.938514540535348,4.5758709285835,37.013692800783154
EC-Earth3,shortwave,0.1,14.294086126913156,17.671035176021388,3.376949049108232,23.624798529442558
EC-Earth3,shortwave,0.25,16.740133504729148,19.023141577148436,2.283008072419289,13.637932288737908
EC-Earth3,shortwave,0.5,19.14489942046432,20.638427462618473,1.4935280421541535,7.801179882709099
EC-Earth3,shortwave,0.75,21.47965527773001,22.577183374823903,1.0975280970938925,5.109616904475202
EC-Earth3,shortwave,0.9,23.61945787306535,24.357236268250517,0.7377783951851669,3.123604272164514
EC-Earth3,shortwave,0.95,24.823127847501073,25.364956475649976,0.5418286281489024,2.1827572716765746
EC-Earth3,shortwave,0.99,26.853095109922613,26.93753265349642,0.08443754357380584,0.31444249993590095
EC-Earth3,longwave,0.01,26.889406656990545,25.4578102819384,-1.4315963750521448,-5.324016231797242
EC-Earth3,longwave,0.05,28.27366862738607,26.469284197938016,-1.8043844294480529,-6.381854626747353
EC-Earth3,longwave,0.1,29.013446756577814,26.956972398181353,-2.0564743583964606,-7.088004316240795
EC-Earth3,longwave,0.25,30.238961359415303,27.830759416223742,-2.4082019431915604,-7.963904297399866
EC-Earth3,longwave,0.5,31.45313495571797,28.627358037429563,-2.8257769182884083,-8.984086712713198
EC-Earth3,longwave,0.75,32.26054012532244,29.14880430487961,-3.1117358204428314,-9.645640799424555
EC-Earth3,longwave,0.9,32.80311042321582,29.506477900550717,-3.296632522665103,-10.049755892453327
EC-Earth3,longwave,0.95,33.08532702089423,29.675451276014986,-3.4098757448792476,-10.306308118779734
EC-Earth3,longwave,0.99,33.60379732077386,30.008483336065574,-3.595313984708284,-10.699130072676821
EC-Earth3,wind,0.01,0.12362079876653172,1.0841343704012572,0.9605135716347254,776.9837933572458
EC-Earth3,wind,0.05,0.21661594904492043,1.3548761722168636,1.1382602231719432,525.4738758575427
EC-Earth3,wind,0.1,0.28935312804449365,1.5406243476711339,1.2512712196266402,432.43742622828427
EC-Earth3,wind,0.25,0.4523419982740058,1.916413980103581,1.4640719818295753,323.66483488511165
EC-Earth3,wind,0.5,0.7499348093163911,2.46734682458346,1.717412015267069,229.0081743015222
EC-Earth3,wind,0.75,1.1569305560826137,3.3240995390819066,2.167168982999293,187.32057612319994
EC-Earth3,wind,0.9,1.5341475522071901,4.408349466323854,2.8742019141166635,187.3484665788194
EC-Earth3,wind,0.95,1.7712679477171462,5.182278173217356,3.4110102255002097,192.57449048837606
EC-Earth3,wind,0.99,2.290385645051189,6.702290169163479,4.41190452411229,192.62714703286076
GFDL-ESM4,precip_consensus,0.01,0.001364441540446398,0.0,-0.001364441540446398,-100.0
GFDL-ESM4,precip_consensus,0.05,0.020303170461220998,0.0,-0.020303170461220998,-99.99999999999999
GFDL-ESM4,precip_consensus,0.1,0.06654387951424576,0.0,-0.06654387951424576,-100.0
GFDL-ESM4,precip_consensus,0.25,0.36593424518266227,0.0,-0.36593424518266227,-100.0
GFDL-ESM4,precip_consensus,0.5,2.2381017066336617,1.977260479728355,-0.26084122690530664,-11.654574326635005
GFDL-ESM4,precip_consensus,0.75,8.251458253782918,11.335780696951035,3.0843224431681175,37.379119524165276
GFDL-ESM4,precip_consensus,0.9,14.360511428963337,19.531447794059385,5.170936365096049,36.00802374396585
GFDL-ESM4,precip_consensus,0.95,18.3865296573891,24.242016091698506,5.855486434309405,31.846610227266172
GFDL-ESM4,precip_consensus,0.99,27.626554028149616,33.94752511601956,6.320971087869946,22.880056200383507
GFDL-ESM4,tas,0.01,13.562005271069761,12.801505091932977,-0.760500179136784,-5.6075791443546334
GFDL-ESM4,tas,0.05,14.648812302124492,14.552825702604721,-0.09598659951977062,-0.6552517537947418
GFDL-ESM4,tas,0.1,15.102207967988353,15.469451504066365,0.3672435360780124,2.4317208242426958
GFDL-ESM4,tas,0.25,15.737775453943096,16.6908385313274,0.9530630773843054,6.055894495212891
GFDL-ESM4,tas,0.5,16.308847934518468,17.636299825366102,1.3274518908476338,8.139458385886458
GFDL-ESM4,tas,0.75,16.865925052617698,18.513888358027582,1.6479633054098848,9.770963052833622
GFDL-ESM4,tas,0.9,17.407313362279044,19.37631989359207,1.969006531313024,11.311375226804287
GFDL-ESM4,tas,0.95,17.745614703974663,20.032833303649593,2.2872185996749295,12.88892291323466
GFDL-ESM4,tas,0.99,18.484926735967406,21.33874291758722,2.8538161816198127,15.438612348227185
GFDL-ESM4,tasmin,0.01,9.542661946133531,5.021077255499191,-4.521584690634341,-47.38284470473549
GFDL-ESM4,tasmin,0.05,10.947149455496104,7.495162947190938,-3.4519865083051666,-31.53319978263446
GFDL-ESM4,tasmin,0.1,11.58470564339559,8.838192515555649,-2.7465131278399415,-23.708095936004394
GFDL-ESM4,tasmin,0.25,12.685621447575494,10.628086677926508,-2.0575347696489867,-16.21942431556814
GFDL-ESM4,tasmin,0.5,13.742193880351806,12.379136782786908,-1.363057097564898,-9.918773591993617
GFDL-ESM4,tasmin,0.75,14.416768534718585,13.693307036519727,-0.7234614981988585,-5.018194586786993
GFDL-ESM4,tasmin,0.9,14.858966332105167,14.581900641436158,-0.27706569066900855,-1.8646363715783105
GFDL-ESM4,tasmin,0.95,15.083673829122157,15.041195953869451,-0.042477875252705743,-0.2816149151322366
GFDL-ESM4,tasmin,0.99,15.500298562545993,16.063252471757085,0.5629539092110925,3.631890746745879
GFDL-ESM4,tasmax,0.01,17.143873053540084,19.147474425268978,2.0036013717288945,11.686982080838293
GFDL-ESM4,tasmax,0.05,18.276754090956164,20.23633351977408,1.9595794288179178,10.72170375038077
