model,variable,quantile,obs_value,cmip_value,difference,relative_difference_pct
CMCC-ESM2,tasmin,0.1,11.58470564339559,9.146534553903072,-2.438171089492519,-21.04646561203317
CMCC-ESM2,tasmin,0.25,12.685621447575494,10.92912386701409,-1.7564975805614047,-13.846366043794493
CMCC-ESM2,tasmin,0.5,13.742193880351806,12.507898366125577,-1.234295514226229,-8.981793773052418
CMCC-ESM2,tasmin,0.75,14.416768534718585,13.536030528584487,-0.8807380061340986,-6.1091221934589415
CMCC-ESM2,tasmin,0.9,14.858966332105167,14.243190277599922,-0.6157760545052451,-4.144137894536867
CMCC-ESM2,tasmin,0.95,15.083673829122157,14.6594578227059,-0.42421600641625723,-2.812418322101479
CMCC-ESM2,tasmin,0.99,15.500298562545993,15.44241428729617,-0.05788427524982254,-0.37343974386203554
CMCC-ESM2,tasmax,0.01,17.143873053540084,18.94552778400361,1.8016547304635253,10.509029813957335
CMCC-ESM2,tasmax,0.05,18.276754090956164,20.109872803401448,1.833118712445284,10.029782659013621
CMCC-ESM2,tasmax,0.1,18.767814756936303,20.702923567308126,1.9351088103718226,10.310783836230243
CMCC-ESM2,tasmax,0.25,19.459682347173867,21.734993506259627,2.27531115908576,11.692437309575116
CMCC-ESM2,tasmax,0.5,20.219715939076544,22.969108356413322,2.7493924173367787,13.597581813814276
CMCC-ESM2,tasmax,0.75,21.15149426054363,24.240259873020214,3.0887656124765854,14.603061015119026
CMCC-ESM2,tasmax,0.9,22.202173256976607,25.545585423870843,3.343412166894236,15.058940979318919
CMCC-ESM2,tasmax,0.95,22.940708978444693,26.41630356585395,3.475594587409258,15.150336420181956
CMCC-ESM2,tasmax,0.99,24.19964496694552,28.207094651519295,4.007449684573775,16.559952387927925
CMCC-ESM2,rh,0.01,54.24143437771188,55.87047850186707,1.629044124155186,3.003320511053022
CMCC-ESM2,rh,0.05,60.72498947629099,62.321036530583285,1.596047054292292,2.628320017931729
CMCC-ESM2,rh,0.1,64.51737287922357,66.45027044327533,1.932897564051757,2.9959334637976323
CMCC-ESM2,rh,0.25,71.44038562554204,73.52548720146137,2.0851015759193388,2.918659463637965
CMCC-ESM2,rh,0.5,79.06523449541791,83.83988898438835,4.774654488970441,6.038879817964934
CMCC-ESM2,rh,0.75,86.61181384245056,88.44244200284365,1.8306281603930898,2.11360099642187
