model,scenario,horizon,level_mean_m,level_end_m,change_mean_vs_anchor_m,change_end_vs_anchor_m,cum_P_end_m,cum_E_end_m,cum_Q_end_m,cum_S_end_m
CMCC-ESM2,ssp585,2030,1550.0919672174468,1549.610029789048,-2.678032782553146,-3.1599702109519967,-2.3201378780890454,-0.0156486461264159,-0.9566007991384509,0.13241711240192763
CMCC-ESM2,ssp585,2050,1539.803749961968,1539.6141919222566,-12.966250038032058,-13.155808077743359,-8.67602288578801,-0.00814815881136195,-4.604054145545913,0.13241711240194207
CMCC-ESM2,ssp585,2090,1520.8306376459352,1520.4480359292131,-31.93936235406477,-32.32196407078686,-21.34506583788999,1.6318043013644026,-12.74111964666296,0.13241711240197093
CNRM-CM6-1,ssp245,2030,1552.0084838585606,1551.6141782174261,-0.7615161414394152,-1.1558217825738666,-0.7380389482636555,0.028365925019060136,-0.5785658717312104,0.13241711240192763
CNRM-CM6-1,ssp245,2050,1552.021051419667,1552.2212839568972,-0.7489485803330354,-0.548716043102786,1.4912979155312591,0.5652767357933284,-2.7377078068293597,0.13241711240194207
CNRM-CM6-1,ssp245,2090,1557.3936387263589,1557.540240999762,4.623638726358877,4.770240999762109,8.95096910653857,2.91771817763556,-7.230863396814055,0.13241711240197093
CNRM-CM6-1,ssp585,2030,1554.1567951966013,1554.4212326977256,1.3867951966012697,1.651232697725618,1.628216632510489,0.1257099338855803,-0.23511098107235656,0.13241711240192763
CNRM-CM6-1,ssp585,2050,1557.3881919243274,1557.986769015177,4.618191924327448,5.2167690151770785,6.361458795746073,0.8664667030682094,-2.1435735960391438,0.13241711240194207
CNRM-CM6-1,ssp585,2090,1564.8592688437411,1564.89116753683,12.089268843741138,12.121167536829944,13.84742659429015,5.3100410838211625,-7.168717253683889,0.13241711240197093
CNRM-ESM2-1,ssp245,2030,1551.158385060636,1551.1393121119816,-1.6116149393640171,-1.6306878880184286,-1.1003819353310607,-0.012420768861779211,-0.6503022962276271,0.13241711240192763
CNRM-ESM2-1,ssp245,2050,1550.1828177241184,1550.5490022762792,-2.5871822758815597,-2.2209977237207568,-0.12400464530556093,0.46490985246971167,-2.6943200432869068,0.13241711240194207
CNRM-ESM2-1,ssp245,2090,1550.4359627384367,1551.0607375777397,-2.334037261563253,-1.7092624222602808,2.960157715522344,2.3324139860278827,-7.134251236212472,0.13241711240197093
