month,river,observed_m3s,predicted_m3s,n_obs
2023-05-01,Quiscab,0.6817000000000001,0.7202481031417847,1
2023-05-01,San_Buenaventura,0.0060999999999999,0.0136995941294459,1
2023-05-01,San_Francisco,0.1891,0.1402576311677982,1
2023-05-01,Tzununa,0.1864,0.1091399416327476,1
2023-06-01,La_Catarata,0.0967,0.0239200828429074,1
2023-06-01,Quiscab,0.7096,0.7851914167404175,1
2023-06-01,San_Buenaventura,0.0150999999999999,0.0322549973128268,1
2023-06-01,San_Francisco,0.2153,0.3269592565498671,1
2023-06-01,Tzununa,0.2009,0.2148035615682602,1
2023-07-01,La_Catarata,0.0602,0.0213750468287509,1
2023-07-01,San_Buenaventura,0.0456,0.0212634581238232,1
2023-07-01,San_Francisco,0.6532,0.267680388041309,1
2023-07-01,Tzununa,0.205,0.1283609122037887,1
2023-08-01,La_Catarata,0.0797,0.0222204222176411,1
2023-08-01,San_Buenaventura,0.0482999999999999,0.0278935418760491,1
2023-08-01,San_Francisco,0.8126,0.261430811989775,1
2023-08-01,Tzununa,0.1885,0.1158663630485534,1
2023-09-01,La_Catarata,0.1011,0.0253454973681425,1
2023-09-01,Quiscab,1.5451,1.0954416990280151,1
2023-09-01,San_Buenaventura,0.0584,0.0360712969672151,1
2023-09-01,San_Francisco,0.6479,0.3190076692214956,1
2023-09-01,Tzununa,0.1905,0.1088461652398109,1
2023-10-01,La_Catarata,0.1092,0.0346054719641708,1
2023-10-01,Quiscab,2.9662,1.633630394935608,1
2023-10-01,San_Buenaventura,0.0841,0.0535545765086808,1
2023-10-01,San_Francisco,0.9527,0.683173163525258,1
2023-10-01,Tzununa,0.4072,0.1733577251434326,1
2023-11-01,La_Catarata,0.0513,0.0376112349287081,1
2023-11-01,Quiscab,7.2947,1.5872423648834229,1
2023-11-01,San_Buenaventura,0.0392,0.04475818099744,1
2023-11-01,San_Francisco,1.6284,0.4224054968935104,1
2023-11-01,Tzununa,0.1837,0.1298635601997375,1
2023-12-01,La_Catarata,0.0305,0.0129964169706522,1
2023-12-01,Quiscab,1.103,0.8801784515380859,1
2023-12-01,San_Buenaventura,0.0042,0.0161050266831921,1
2023-12-01,San_Francisco,0.4343999999999999,0.1919102557183994,1
2023-12-01,Tzununa,0.1055,0.0872681215405464,1
