relative_level_m,wet_pixels,area_km2,volume_km3,mean_water_depth_m,area_pct_reference,volume_pct_reference,exposed_area_from_reference_km2,storage_loss_from_reference_km3,absolute_level_temporal_2014_median_m,absolute_level_temporal_2014_min_m,absolute_level_temporal_2014_max_m,absolute_level_area_anchored_2026_m,dA_dH_km2_per_m,dV_dH_numeric_km2,dVdH_minus_area_km2
-321.7999999999993,179382,10.004636450842117,0.024625425834471113,2.461401366803121,7.905282219130499,0.09727539765198046,116.55171123566117,25.29053794422219,1235.7600000000007,1235.5100000000007,1236.2900000000006,1233.5395226000007,1.6547789828211248,10.00518481734838,0.0005483665062637755
-321.69999999999925,182375,10.171564441930245,0.02563423035480729,2.5201856116779133,8.03718235226458,0.10126037892818035,116.38478324457304,25.289529139701855,1235.8600000000006,1235.6100000000006,1236.3900000000008,1233.6395226000009,1.6868483429533205,10.172353049745496,0.000788607815250586
-321.5999999999992,185431,10.342006119432858,0.026659896444420673,2.5778264039436354,8.171858866416853,0.10531196680308448,116.21434156707043,25.28850347361224,1235.9600000000007,1235.7100000000007,1236.4900000000007,1233.7395226000008,1.7083208710418176,10.342093521002546,8.740156968833901e-05
-321.4999999999992,188501,10.513228616138687,0.02770264905900827,2.635027741761687,8.30715235412872,0.10943104989705726,116.0431190703646,25.287460720997654,1236.0600000000009,1235.8100000000009,1236.5900000000006,1233.8395226000007,1.7264470311165407,10.513821528452556,0.000592912313869931
-321.3999999999992,191622,10.687295525656245,0.028762660750111663,2.6912946012452963,8.444693388379129,0.11361830982348223,115.86905216084705,25.28640070930655,1236.1600000000008,1235.9100000000008,1236.6900000000007,1233.9395226000008,1.7479195592050645,10.687335079769994,3.955411374967355e-05
-321.29999999999916,194769,10.862812527979779,0.029840116074962755,2.7469972438631687,8.583380230668787,0.11787447562064049,115.6935351585235,25.2853232539817,1236.2600000000007,1236.0100000000007,1236.7900000000009,1234.039522600001,1.7649302632751669,10.862878783345149,6.625536537008259e-05
-321.19999999999914,197951,11.040281578311358,0.030935236506781188,2.802033289400289,8.723609506857441,0.12220042215240876,115.51606610819192,25.28422813354988,1236.3600000000008,1236.1100000000008,1236.8900000000008,1234.1395226000009,1.7891914313751762,11.040565609672152,0.0002840313607936906
-321.0999999999991,201185,11.220650814254896,0.03204822919689769,2.856182740860548,8.866130399124604,0.12659696770831447,115.33569687224839,25.283115140859763,1236.460000000001,1236.210000000001,1236.9900000000007,1234.2395226000008,1.8089907754567998,11.22057311721499,-7.76970399058996e-05
-320.9999999999991,204438,11.4020797334028,0.033179351130224695,2.909938529286425,9.00948861265122,0.13106512743058166,115.15426795310049,25.281984018926437,1236.5600000000009,1236.3100000000009,1237.0900000000008,1234.339522600001,1.831299895548747,11.402717183138975,0.0006374497361747444
-320.89999999999907,207752,11.586910793364728,0.034328772633526,2.9627200248391015,9.155535068116084,0.1356055741442729,114.96943689313856,25.280834597423137,1236.6600000000008,1236.4100000000008,1237.190000000001,1234.439522600001,1.8530512876384058,11.586887892893673,-2.2900471055464777e-05
-320.79999999999905,211083,11.772689990930566,0.03549672870880396,3.0151756935882874,9.302330705760463,0.14021923615468457,114.78365769557271,25.27966664134786,1236.760000000001,1236.510000000001,1237.2900000000009,1234.539522600001,1.8683888077016346,11.773064574760733,0.00037458383016719665
