scenario,year,quantile,reference,H0_m,level_m,relative_level_m,wet_pixels_raw,area_raw_km2,anchor_area_raw_km2,delta_area_vs_anchor_km2,area_anchor_adjusted_km2,area_loss_vs_current_km2,volume_raw_km3,anchor_volume_raw_km3,delta_volume_vs_anchor_km3,storage_loss_vs_anchor_km3,volume_published_anchored_km3,mean_water_depth_m
ssp585,2030,p50,sensitivity_temporal_2014_max,1558.09,1552.2932345667139,-5.796765433286055,2170704,121.06624055027142,121.19909136041908,-0.13285081014765865,121.89034918985234,0.13285081014765865,24.608405015747916,24.6661567403527,-0.05775172460478473,0.05775172460478473,24.75324164569125,203.26397271359517
ssp585,2030,p95,primary_temporal_2014_median,1557.56,1553.5025736984253,-4.057426301574651,2180380,121.60589816529605,121.39992921404699,0.20596895124906212,122.22916895124906,-0.20596895124906212,24.819451432495764,24.73044207665754,0.08900935583822545,-0.08900935583822545,24.9642880624391,204.09743118511622
ssp585,2030,p95,sensitivity_temporal_2014_min,1557.31,1553.5025736984253,-3.807426301574651,2181634,121.67583725678436,121.46892016793139,0.20691708885297544,122.23011708885298,-0.20691708885297544,24.849861500013585,24.760800589577972,0.08906091043561304,-0.08906091043561304,24.99469812995692,204.23004320545994
ssp585,2030,p95,sensitivity_temporal_2014_max,1558.09,1553.5025736984253,-4.587426301574624,2177669,121.45469810387276,121.19909136041908,0.25560674345368284,122.27880674345369,-0.25560674345368284,24.755040096998425,24.6661567403527,0.08888335664572367,-0.08888335664572367,24.89987672694176,203.82118175310893
ssp585,2050,p05,primary_temporal_2014_median,1557.56,1540.105100681882,-17.454899318117896,2110032,117.68239321472218,121.39992921404699,-3.7175359993248094,118.3056640006752,3.7175359993248094,23.21643420221918,24.73044207665754,-1.5140078744383594,1.5140078744383594,23.36127083216252,197.2804390530935
ssp585,2050,p05,sensitivity_temporal_2014_min,1557.31,1540.105100681882,-17.204899318117896,2111282,117.75210921500958,121.46892016793139,-3.7168109529218043,118.3063890470782,3.7168109529218043,23.245863543949145,24.760800589577972,-1.5149370456288267,1.5149370456288267,23.390700173892487,197.41356396005898
ssp585,2050,p05,sensitivity_temporal_2014_max,1558.09,1540.105100681882,-17.98489931811787,2107332,117.53180665410143,121.19909136041908,-3.667284706317645,118.35591529368236,3.667284706317645,23.154102703604963,24.6661567403527,-1.5120540367477382,1.5120540367477382,23.2989393335483,197.00286554556226
ssp585,2050,p50,primary_temporal_2014_median,1557.56,1548.1447400878528,-9.415259912147121,2152997,120.07867157660037,121.39992921404699,-1.321257637446621,120.70194236255338,1.321257637446621,24.172128345226145,24.73044207665754,-0.5583137314313937,0.5583137314313937,24.316964975169487,201.30242971422535
ssp585,2050,p50,sensitivity_temporal_2014_min,1557.31,1548.1447400878528,-9.165259912147121,2154184,120.14487389047328,121.46892016793139,-1.324046277458109,120.6991537225419,1.324046277458109,24.2021564860358,24.760800589577972,-0.5586441035421714,0.5586441035421714,24.346993115979135,201.44144067352406
ssp585,2050,p50,sensitivity_temporal_2014_max,1558.09,1548.1447400878528,-9.945259912147094,2150511,119.9400203952288,121.19909136041908,-1.2590709651902756,120.76412903480973,1.2590709651902756,24.10852390902973,24.6661567403527,-0.5576328313229695,0.5576328313229695,24.253360538973073,201.00483416283268
ssp585,2050,p95,primary_temporal_2014_median,1557.56,1552.8101514045268,-4.749848595473168,2176888,121.4111395468932,121.39992921404699,0.011210332846204096,122.0344103328462,-0.011210332846204096,24.73531669109332,24.73044207665754,0.00487461443578141,-0.00487461443578141,24.880153321036662,203.7318551115294
ssp585,2050,p95,sensitivity_temporal_2014_min,1557.31,1552.8101514045268,-4.499848595473168,2178131,121.48046513757897,121.46892016793139,0.011544969647587777,122.03474496964759,-0.011544969647587777,24.765677957018585,24.760800589577972,0.0048773674406135115,-0.0048773674406135115,24.910514586961927,203.86551804004847
ssp585,2050,p95,sensitivity_temporal_2014_max,1558.09,1552.8101514045268,-5.2798485954731404,2173262,121.20890737325955,121.19909136041908,0.009816012840474286,122.03301601284048,-0.009816012840474286,24.6710232662562,24.6661567403527,0.004866525903498342,-0.004866525903498342,24.815859896199537,203.54133867639322
ssp585,2090,p05,primary_temporal_2014_median,1557.56,1511.9267681902936,-45.63323180970633,1976756,110.2492174912804,121.39992921404699,-11.150711722766587,110.87248827723342,11.150711722766587,20.00522760919996,24.73044207665754,-4.72521446745758,4.72521446745758,20.150064239143294,181.45459953747218
ssp585,2090,p05,sensitivity_temporal_2014_min,1557.31,1511.9267681902936,-45.38323180970633,1977969,110.3168698979593,121.46892016793139,-11.152050269972094,110.87114973002791,11.152050269972094,20.03279824859415,24.760800589577972,-4.728002340983821,4.728002340983821,20.177634878537493,181.59324378151823
ssp585,2090,p05,sensitivity_temporal_2014_max,1558.09,1511.9267681902936,-46.1632318097063,1974162,110.10454284748401,121.19909136041908,-11.094548512935063,110.92865148706494,11.094548512935063,19.946833975796224,24.6661567403527,-4.719322764556477,4.719322764556477,20.091670605739562,181.1626792132131
ssp585,2090,p50,primary_temporal_2014_median,1557.56,1530.1243554409712,-27.435644559028788,2061953,115.00089275246825,121.39992921404699,-6.399036461578746,115.62416353842126,6.399036461578746,22.05544444042729,24.73044207665754,-2.6749976362302483,2.6749976362302483,22.200281070370625,191.78498455573006
ssp585,2090,p50,sensitivity_temporal_2014_min,1557.31,1530.1243554409712,-27.185644559028788,2063129,115.06648156553861,121.46892016793139,-6.4024386023927775,115.62076139760723,6.4024386023927775,22.084203001135215,24.760800589577972,-2.676597588442757,2.676597588442757,22.229039631078553,191.92559553979825
ssp585,2090,p50,sensitivity_temporal_2014_max,1558.09,1530.1243554409712,-27.96564455902876,2059556,114.86720535031714,121.19909136041908,-6.33188601010194,115.69131398989806,6.33188601010194,21.994528973809615,24.6661567403527,-2.671627766543086,2.671627766543086,22.139365603752953,191.47788010278157
ssp585,2090,p95,primary_temporal_2014_median,1557.56,1554.5059061772022,-3.0540938227977676,2185444,121.88833162566033,121.39992921404699,0.4884024116133361,122.51160241161334,-0.4884024116133361,24.941602948493664,24.73044207665754,0.21116087183612464,-0.21116087183612464,25.086439578437,204.6266661938859
ssp585,2090,p95,sensitivity_temporal_2014_min,1557.31,1554.5059061772022,-2.8040938227977676,2186675,121.95698794274334,121.46892016793139,0.4880677748119524,122.51126777481196,-0.4880677748119524,24.97208357985682,24.760800589577972,0.21128299027884978,-0.21128299027884978,25.11692020980016,204.76139990912841
ssp585,2090,p95,sensitivity_temporal_2014_max,1558.09,1554.5059061772022,-3.5840938227977404,2182742,121.7376335194391,121.19909136041908,0.5385421590200252,122.56174215902003,-0.5385421590200252,24.877042498568485,24.6661567403527,0.2108857582157846,-0.2108857582157846,25.021879128511824,204.3496475113927
