scenario,year,quantile,absolute_level_m,reference,H0_m,relative_level_m,wet_pixels,area_km2,volume_km3,mean_water_depth_m,area_pct_reference,volume_pct_reference,exposed_area_vs_reference_km2,storage_loss_vs_reference_km3,area_change_vs_current_sentinel_km2
ssp245,2090,p95,1552.5232655348132,area_anchored_2026,1555.3395226,-2.8162570651868464,2186615,121.95364157472956,24.970600207466855,204.75485508290964,96.36311714432907,98.63890602816585,4.602706111773728,0.34456316258980735,-0.06955842527044354
ssp585,2030,p05,1550.764842172001,temporal_2014_median,1557.56,-6.795157827998992,2165756,120.79027673473382,24.48767205614898,202.72883478796962,95.44387061006786,96.73124245018124,5.766070951769464,0.8274913139076823,-1.2329232652661801
ssp585,2030,p05,1550.764842172001,temporal_2014_min,1557.31,-6.545157827998992,2166974,120.85820800541384,24.5178781337567,202.864816038464,95.49754730975289,96.85056254765075,5.698139681089444,0.7972852362999632,-1.1649919945861598
ssp585,2030,p05,1550.764842172001,temporal_2014_max,1558.09,-7.325157827998964,2163105,120.64242304132432,24.42369154391898,202.44695794573852,95.32704225960397,96.47850652549161,5.913924645178966,0.8914718261376819,-1.380776958675682
ssp585,2030,p05,1550.764842172001,area_anchored_2026,1555.3395226,-4.574680427999056,2177740,121.4586579726891,24.756588168547477,203.8272823178582,95.97199997708385,97.79351531987393,5.097689713814191,0.5585752015091856,-0.5645420273109067
ssp585,2030,p50,1552.2932345667139,temporal_2014_median,1557.56,-5.266765433286082,2173314,121.2118075588715,24.67260907994271,203.5495516223487,95.77694819317091,97.46178098588145,5.344540127631788,0.6425542901139529,-0.8113924411285041
ssp585,2030,p50,1552.2932345667139,temporal_2014_min,1557.31,-5.016765433286082,2174545,121.28046387595452,24.702920708977484,203.68425317241196,95.83119779687557,97.58151803277181,5.275883810548763,0.6122426610791791,-0.7427361240454786
ssp585,2030,p50,1552.2932345667139,temporal_2014_max,1558.09,-5.796765433286055,2170704,121.06624055027142,24.608405015747916,203.26397271359517,95.66192669384581,97.20816198585266,5.49010713623187,0.7067583543087466,-0.9569594497285863
ssp585,2030,p50,1552.2932345667139,area_anchored_2026,1555.3395226,-3.046288033286146,2185477,121.89017212806792,24.942554389904327,204.63138212404533,96.31296600784174,98.5281193934815,4.66617555843537,0.3726089801523358,-0.13302787193208587
ssp585,2030,p95,1553.5025736984253,temporal_2014_median,1557.56,-4.057426301574651,2180380,121.60589816529605,24.819451432495764,204.09743118511622,96.08834356260806,98.04183788856272,4.950449521207233,0.49571193756089826,-0.41730183470394877
ssp585,2030,p95,1553.5025736984253,temporal_2014_min,1557.31,-3.807426301574651,2181634,121.67583725678436,24.849861500013585,204.23004320545994,96.14360676573206,98.16196378731078,4.880510429718925,0.46530187004307777,-0.34736274321564053
ssp585,2030,p95,1553.5025736984253,temporal_2014_max,1558.09,-4.587426301574624,2177669,121.45469810387276,24.755040096998425,203.82118175310893,95.96887103974588,97.78740012509354,5.101649582630529,0.5601232730582382,-0.5685018961272448
ssp585,2030,p95,1553.5025736984253,area_anchored_2026,1555.3395226,-1.836948901574715,2191525,122.22748602385843,25.090166451334408,205.2743394103425,96.57949858558813,99.11121680143536,4.328861662644854,0.2249969187222547,0.20428602385842964
ssp585,2050,p05,1540.105100681882,temporal_2014_median,1557.56,-17.454899318117896,2110032,117.68239321472218,23.21643420221918,197.2804390530935,92.98813956470752,91.70959658779091,8.873954471781104,2.098729167837483,-4.34080678527782
ssp585,2050,p05,1540.105100681882,temporal_2014_min,1557.31,-17.204899318117896,2111282,117.75210921500958,23.245863543949145,197.41356396005898,93.04322648967165,91.82584842191802,8.804238471493704,2.0692998261075175,-4.27109078499042
ssp585,2050,p05,1540.105100681882,temporal_2014_max,1558.09,-17.98489931811787,2107332,117.53180665410143,23.154102703604963,197.00286554556226,92.86915180678506,91.46337459939978,9.024541032401856,2.1610606664517,-4.491393345898572
ssp585,2050,p05,1540.105100681882,area_anchored_2026,1555.3395226,-15.23442191811796,2121332,118.31262585732019,23.478440427158436,198.4440819990962,93.48612536638313,92.74457400867203,8.243721829183102,1.836722942898227,-3.7105741426798176
ssp585,2050,p50,1548.1447400878528,temporal_2014_median,1557.56,-9.415259912147121,2152997,120.07867157660037,24.172128345226145,201.30242971422535,94.88158734957415,95.4847811640729,6.477676109902916,1.1430350248305174,-1.9445284233996318
ssp585,2050,p50,1548.1447400878528,temporal_2014_min,1557.31,-9.165259912147121,2154184,120.14487389047328,24.2021564860358,201.44144067352406,94.93389789352007,95.60339837530991,6.411473796030009,1.1130068840208622,-1.878326109526725
ssp585,2050,p50,1548.1447400878528,temporal_2014_max,1558.09,-9.945259912147094,2150511,119.9400203952288,24.10852390902973,201.00483416283268,94.7720304732055,95.23353081554998,6.616327291274487,1.2066394610269313,-2.0831796047712032
