component_id,pixels,area_km2,row_centroid,col_centroid,azimuth_deg,sector_30deg,touches_shore_band
84,2,0.0008,1105.5,1027.0,140.93057145574176,5,False
46,2,0.0008,931.5,1181.0,110.4282392162952,4,True
72,1,0.0004,1036.0,523.0,221.85036587796907,8,True
3,1,0.0004,496.0,879.0,23.568064683470254,1,True
5,1,0.0004,512.0,939.0,34.68321108166771,2,False
12,1,0.0004,530.0,941.0,36.916684946134865,2,False
69,1,0.0004,1022.0,544.0,220.74784288417467,8,True
83,1,0.0004,1101.0,491.0,219.19847130840208,8,True
82,1,0.0004,1099.0,492.0,219.26519683330773,8,True
74,1,0.0004,1039.0,522.0,221.64743289247218,8,False
81,1,0.0004,1095.0,570.0,210.31766461493845,8,True
7,1,0.0004,523.0,923.0,33.36745374093596,2,False
77,1,0.0004,1051.0,601.0,209.49897227501225,7,True
10,1,0.0004,528.0,924.0,34.05961652730247,2,True
29,1,0.0004,636.0,396.0,290.86101411551294,10,False
68,1,0.0004,1011.0,541.0,222.4338168932141,8,True
48,1,0.0004,933.0,675.0,207.48532042044752,7,False
32,1,0.0004,735.0,1117.0,83.82405904503753,3,True
35,1,0.0004,809.0,330.0,265.3054459992631,9,False
26,1,0.0004,631.0,394.0,291.44155800309244,10,True
22,1,0.0004,585.0,526.0,309.1748600762044,11,True
21,1,0.0004,584.0,524.0,309.0819928140955,11,True
41,1,0.0004,904.0,794.0,164.4484280596222,6,True
43,1,0.0004,913.0,741.0,186.87939099858917,7,True
44,1,0.0004,918.0,898.0,135.78886874630552,5,True
50,1,0.0004,936.0,670.0,208.43353366882337,7,True
15,1,0.0004,554.0,616.0,327.1836455511816,11,True
52,1,0.0004,940.0,664.0,209.4462088370219,7,True
53,1,0.0004,940.0,990.0,125.58048081386926,5,False
54,1,0.0004,942.0,712.0,195.2336273333977,7,True
56,1,0.0004,952.0,525.0,232.57650292051966,8,True
57,1,0.0004,952.0,624.0,216.90871264345432,8,True
28,1,0.0004,633.0,395.0,291.22130702717226,10,True
17,1,0.0004,563.0,603.0,323.7201375813456,11,True
16,1,0.0004,555.0,614.0,326.69731865840333,11,True
1,1,0.0004,373.0,792.0,4.878366301387473,1,False
